"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-17,1083,Syddanmark,481,1083
2021-01-17,1084,Hovedstaden,36,1084
2021-01-17,1085,Sjælland,194,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,162,1082
2021-01-18,1083,Syddanmark,518,1083
2021-01-18,1084,Hovedstaden,132,1084
2021-01-18,1085,Sjælland,1314,1085
2021-01-19,1081,Nordjylland,1,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,457,1083
2021-01-19,1084,Hovedstaden,166,1084
2021-01-19,1085,Sjælland,1452,1085
2021-01-20,1081,Nordjylland,1,1081
2021-01-20,1082,Midtjylland,98,1082
2021-01-20,1083,Syddanmark,315,1083
2021-01-20,1084,Hovedstaden,125,1084
2021-01-20,1085,Sjælland,1344,1085
2021-01-21,1081,Nordjylland,10,1081
2021-01-21,1082,Midtjylland,576,1082
2021-01-21,1083,Syddanmark,459,1083
2021-01-21,1084,Hovedstaden,112,1084
2021-01-21,1085,Sjælland,1193,1085
2021-01-22,1081,Nordjylland,2480,1081
2021-01-22,1082,Midtjylland,1186,1082
2021-01-22,1083,Syddanmark,1461,1083
2021-01-22,1084,Hovedstaden,72,1084
2021-01-22,1085,Sjælland,447,1085
2021-01-23,1081,Nordjylland,1369,1081
2021-01-23,1082,Midtjylland,1081,1082
2021-01-23,1083,Syddanmark,176,1083
2021-01-23,1084,Hovedstaden,4192,1084
2021-01-23,1085,Sjælland,351,1085
2021-01-24,1081,Nordjylland,643,1081
2021-01-24,1082,Midtjylland,1336,1082
2021-01-24,1083,Syddanmark,232,1083
2021-01-24,1084,Hovedstaden,4055,1084
2021-01-24,1085,Sjælland,265,1085
2021-01-25,1081,Nordjylland,10,1081
2021-01-25,1082,Midtjylland,168,1082
2021-01-25,1083,Syddanmark,1761,1083
2021-01-25,1084,Hovedstaden,249,1084
2021-01-25,1085,Sjælland,263,1085
2021-01-26,1081,Nordjylland,154,1081
2021-01-26,1082,Midtjylland,45,1082
2021-01-26,1083,Syddanmark,972,1083
2021-01-26,1084,Hovedstaden,137,1084
2021-01-26,1085,Sjælland,436,1085
2021-01-27,1081,Nordjylland,221,1081
2021-01-27,1082,Midtjylland,1107,1082
2021-01-27,1083,Syddanmark,1111,1083
2021-01-27,1084,Hovedstaden,622,1084
2021-01-27,1085,Sjælland,1301,1085
2021-01-28,1081,Nordjylland,519,1081
2021-01-28,1082,Midtjylland,1768,1082
2021-01-28,1083,Syddanmark,484,1083
2021-01-28,1084,Hovedstaden,3777,1084
2021-01-28,1085,Sjælland,1568,1085
2021-01-29,1081,Nordjylland,1915,1081
2021-01-29,1082,Midtjylland,3834,1082
2021-01-29,1083,Syddanmark,3038,1083
2021-01-29,1084,Hovedstaden,7636,1084
2021-01-29,1085,Sjælland,1899,1085
2021-01-30,1081,Nordjylland,1867,1081
2021-01-30,1082,Midtjylland,2635,1082
2021-01-30,1083,Syddanmark,2808,1083
2021-01-30,1084,Hovedstaden,4682,1084
2021-01-30,1085,Sjælland,974,1085
2021-01-31,1081,Nordjylland,1604,1081
2021-01-31,1082,Midtjylland,6234,1082
2021-01-31,1083,Syddanmark,1225,1083
2021-01-31,1084,Hovedstaden,2665,1084
2021-01-31,1085,Sjælland,564,1085
2021-02-01,1081,Nordjylland,620,1081
2021-02-01,1082,Midtjylland,1507,1082
2021-02-01,1083,Syddanmark,3108,1083
2021-02-01,1084,Hovedstaden,1882,1084
2021-02-01,1085,Sjælland,754,1085
2021-02-02,1081,Nordjylland,381,1081
2021-02-02,1082,Midtjylland,1007,1082
2021-02-02,1083,Syddanmark,1081,1083
2021-02-02,1084,Hovedstaden,102,1084
2021-02-02,1085,Sjælland,452,1085
2021-02-03,1081,Nordjylland,524,1081
2021-02-03,1082,Midtjylland,1392,1082
2021-02-03,1083,Syddanmark,544,1083
2021-02-03,1084,Hovedstaden,3005,1084
2021-02-03,1085,Sjælland,715,1085
2021-02-04,1081,Nordjylland,297,1081
2021-02-04,1082,Midtjylland,1794,1082
