"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2020-12-17,1084,Hovedstaden,1,1084
2020-12-18,1084,Hovedstaden,1,1084
2020-12-19,1084,Hovedstaden,1,1084
2020-12-21,1084,Hovedstaden,1,1084
2020-12-22,1083,Syddanmark,1,1083
2020-12-23,1082,Midtjylland,1,1082
2020-12-23,1084,Hovedstaden,2,1084
2020-12-24,1084,Hovedstaden,1,1084
2020-12-26,1085,Sjælland,1,1085
2020-12-27,1081,Nordjylland,1019,1081
2020-12-27,1082,Midtjylland,1862,1082
2020-12-27,1083,Syddanmark,462,1083
2020-12-27,1084,Hovedstaden,1608,1084
2020-12-27,1085,Sjælland,1310,1085
2020-12-28,1081,Nordjylland,103,1081
2020-12-28,1082,Midtjylland,196,1082
2020-12-28,1083,Syddanmark,652,1083
2020-12-28,1084,Hovedstaden,496,1084
2020-12-28,1085,Sjælland,552,1085
2020-12-29,1081,Nordjylland,315,1081
2020-12-29,1082,Midtjylland,1067,1082
2020-12-29,1083,Syddanmark,1862,1083
2020-12-29,1084,Hovedstaden,3520,1084
2020-12-29,1085,Sjælland,1941,1085
2020-12-30,1081,Nordjylland,2200,1081
2020-12-30,1082,Midtjylland,1224,1082
2020-12-30,1083,Syddanmark,2411,1083
2020-12-30,1084,Hovedstaden,3450,1084
2020-12-30,1085,Sjælland,1846,1085
2020-12-31,1081,Nordjylland,655,1081
2020-12-31,1082,Midtjylland,1098,1082
2020-12-31,1083,Syddanmark,1293,1083
2020-12-31,1084,Hovedstaden,1615,1084
2020-12-31,1085,Sjælland,1284,1085
2021-01-01,1081,Nordjylland,7,1081
2021-01-01,1082,Midtjylland,126,1082
2021-01-01,1083,Syddanmark,652,1083
2021-01-01,1084,Hovedstaden,1193,1084
2021-01-01,1085,Sjælland,290,1085
2021-01-02,1081,Nordjylland,1651,1081
2021-01-02,1082,Midtjylland,2316,1082
2021-01-02,1083,Syddanmark,1914,1083
2021-01-02,1084,Hovedstaden,2268,1084
2021-01-02,1085,Sjælland,392,1085
2021-01-03,1081,Nordjylland,16,1081
2021-01-03,1082,Midtjylland,2880,1082
2021-01-03,1083,Syddanmark,770,1083
2021-01-03,1084,Hovedstaden,1990,1084
2021-01-03,1085,Sjælland,93,1085
2021-01-04,1081,Nordjylland,1015,1081
2021-01-04,1082,Midtjylland,58,1082
2021-01-04,1083,Syddanmark,947,1083
2021-01-04,1084,Hovedstaden,355,1084
2021-01-04,1085,Sjælland,21,1085
2021-01-05,1081,Nordjylland,2118,1081
2021-01-05,1082,Midtjylland,2787,1082
2021-01-05,1083,Syddanmark,1139,1083
2021-01-05,1084,Hovedstaden,6499,1084
2021-01-05,1085,Sjælland,548,1085
2021-01-06,1081,Nordjylland,2699,1081
2021-01-06,1082,Midtjylland,4175,1082
2021-01-06,1083,Syddanmark,3595,1083
2021-01-06,1084,Hovedstaden,6688,1084
2021-01-06,1085,Sjælland,1942,1085
2021-01-07,1081,Nordjylland,1097,1081
2021-01-07,1082,Midtjylland,4244,1082
2021-01-07,1083,Syddanmark,4291,1083
2021-01-07,1084,Hovedstaden,5523,1084
2021-01-07,1085,Sjælland,1782,1085
2021-01-08,1081,Nordjylland,223,1081
2021-01-08,1082,Midtjylland,2661,1082
2021-01-08,1083,Syddanmark,3226,1083
2021-01-08,1084,Hovedstaden,750,1084
2021-01-08,1085,Sjælland,1332,1085
2021-01-09,1081,Nordjylland,31,1081
2021-01-09,1082,Midtjylland,722,1082
2021-01-09,1083,Syddanmark,30,1083
2021-01-09,1084,Hovedstaden,114,1084
2021-01-09,1085,Sjælland,980,1085
2021-01-10,1081,Nordjylland,1,1081
2021-01-10,1082,Midtjylland,1,1082
2021-01-10,1083,Syddanmark,18,1083
2021-01-10,1084,Hovedstaden,133,1084
2021-01-10,1085,Sjælland,664,1085
2021-01-11,1081,Nordjylland,3,1081
2021-01-11,1082,Midtjylland,19,1082
2021-01-11,1083,Syddanmark,18,1083
2021-01-11,1084,Hovedstaden,94,1084
2021-01-11,1085,Sjælland,525,1085
2021-01-12,1081,Nordjylland,5,1081
2021-01-12,1082,Midtjylland,13,1082
2021-01-12,1083,Syddanmark,12,1083
2021-01-12,1084,Hovedstaden,69,1084
2021-01-12,1085,Sjælland,360,1085
2021-01-13,1081,Nordjylland,487,1081
2021-01-13,1082,Midtjylland,1948,1082
2021-01-13,1083,Syddanmark,2283,1083
2021-01-13,1084,Hovedstaden,6902,1084
2021-01-13,1085,Sjælland,921,1085
2021-01-14,1081,Nordjylland,684,1081
2021-01-14,1082,Midtjylland,2801,1082
2021-01-14,1083,Syddanmark,3660,1083
2021-01-14,1084,Hovedstaden,8534,1084
2021-01-14,1085,Sjælland,1908,1085
2021-01-15,1081,Nordjylland,1305,1081
2021-01-15,1082,Midtjylland,3166,1082
2021-01-15,1083,Syddanmark,4044,1083
2021-01-15,1084,Hovedstaden,5422,1084
2021-01-15,1085,Sjælland,965,1085
2021-01-16,1081,Nordjylland,1259,1081
2021-01-16,1082,Midtjylland,903,1082
2021-01-16,1083,Syddanmark,1439,1083
2021-01-16,1084,Hovedstaden,853,1084
2021-01-16,1085,Sjælland,56,1085
2021-01-17,1081,Nordjylland,1096,1081
2021-01-17,1082,Midtjylland,24,1082
2021-01-17,1083,Syddanmark,1236,1083
2021-01-17,1084,Hovedstaden,50,1084
2021-01-17,1085,Sjælland,34,1085
2021-01-18,1081,Nordjylland,655,1081
2021-01-18,1082,Midtjylland,1599,1082
2021-01-18,1083,Syddanmark,1398,1083
2021-01-18,1084,Hovedstaden,24,1084
2021-01-18,1085,Sjælland,97,1085
2021-01-19,1081,Nordjylland,25,1081
2021-01-19,1082,Midtjylland,1797,1082
2021-01-19,1083,Syddanmark,402,1083
2021-01-19,1084,Hovedstaden,42,1084
2021-01-19,1085,Sjælland,161,1085
2021-01-20,1081,Nordjylland,18,1081
2021-01-20,1082,Midtjylland,990,1082
2021-01-20,1083,Syddanmark,203,1083
2021-01-20,1084,Hovedstaden,22,1084
2021-01-20,1085,Sjælland,247,1085
2021-01-21,1081,Nordjylland,15,1081
2021-01-21,1082,Midtjylland,1145,1082
2021-01-21,1083,Syddanmark,137,1083
2021-01-21,1084,Hovedstaden,24,1084
2021-01-21,1085,Sjælland,169,1085
2021-01-22,1081,Nordjylland,162,1081
2021-01-22,1082,Midtjylland,168,1082
2021-01-22,1083,Syddanmark,145,1083
2021-01-22,1084,Hovedstaden,45,1084
2021-01-22,1085,Sjælland,132,1085
2021-01-23,1081,Nordjylland,59,1081
2021-01-23,1082,Midtjylland,94,1082
2021-01-23,1083,Syddanmark,1,1083
2021-01-23,1084,Hovedstaden,543,1084
2021-01-23,1085,Sjælland,26,1085
2021-01-24,1081,Nordjylland,20,1081
2021-01-24,1082,Midtjylland,75,1082
2021-01-24,1083,Syddanmark,2,1083
2021-01-24,1084,Hovedstaden,473,1084
2021-01-24,1085,Sjælland,20,1085
2021-01-25,1081,Nordjylland,23,1081
2021-01-25,1082,Midtjylland,9,1082
2021-01-25,1083,Syddanmark,140,1083
2021-01-25,1084,Hovedstaden,46,1084
2021-01-25,1085,Sjælland,55,1085
2021-01-26,1081,Nordjylland,2,1081
2021-01-26,1082,Midtjylland,8,1082
2021-01-26,1083,Syddanmark,96,1083
2021-01-26,1084,Hovedstaden,12,1084
2021-01-26,1085,Sjælland,91,1085
2021-01-27,1081,Nordjylland,1,1081
2021-01-27,1082,Midtjylland,29,1082
2021-01-27,1083,Syddanmark,83,1083
2021-01-27,1084,Hovedstaden,12,1084
2021-01-27,1085,Sjælland,75,1085
2021-01-28,1081,Nordjylland,22,1081
2021-01-28,1082,Midtjylland,11,1082
2021-01-28,1083,Syddanmark,35,1083
2021-01-28,1084,Hovedstaden,14,1084
2021-01-28,1085,Sjælland,135,1085
2021-01-29,1081,Nordjylland,63,1081
2021-01-29,1082,Midtjylland,278,1082
2021-01-29,1083,Syddanmark,69,1083
2021-01-29,1084,Hovedstaden,428,1084
2021-01-29,1085,Sjælland,248,1085
2021-01-30,1081,Nordjylland,66,1081
2021-01-30,1082,Midtjylland,178,1082
2021-01-30,1083,Syddanmark,121,1083
2021-01-30,1084,Hovedstaden,403,1084
2021-01-30,1085,Sjælland,411,1085
