"Vaccinedato";"Regionsnavn";"Kumulerede antal færdigvacc.";"Antal borgere";"Vaccinations dækning (%)"
2021-01-04;Hovedstaden;0;1860392;0.00
2021-01-07;Hovedstaden;0;1860392;0.00
2021-01-08;Hovedstaden;1;1860392;0.00
2021-01-09;Hovedstaden;2;1860392;0.00
2021-01-12;Hovedstaden;2;1860392;0.00
2021-01-13;Hovedstaden;3;1860392;0.00
2021-01-14;Hovedstaden;4;1860392;0.00
2021-01-15;Hovedstaden;9;1860392;0.00
2021-01-16;Hovedstaden;9;1860392;0.00
2021-01-17;Hovedstaden;50;1860392;0.00
2021-01-18;Hovedstaden;186;1860392;0.01
2021-01-19;Hovedstaden;357;1860392;0.02
2021-01-20;Hovedstaden;487;1860392;0.03
2021-01-21;Hovedstaden;604;1860392;0.03
2021-01-22;Hovedstaden;683;1860392;0.04
2021-01-23;Hovedstaden;4670;1860392;0.25
2021-01-24;Hovedstaden;8533;1860392;0.46
2021-01-25;Hovedstaden;8771;1860392;0.47
2021-01-26;Hovedstaden;8906;1860392;0.48
2021-01-27;Hovedstaden;9532;1860392;0.51
2021-01-28;Hovedstaden;13279;1860392;0.71
2021-01-29;Hovedstaden;20646;1860392;1.11
2021-01-30;Hovedstaden;25119;1860392;1.35
2021-01-31;Hovedstaden;27666;1860392;1.49
2021-02-01;Hovedstaden;29551;1860392;1.59
2021-02-02;Hovedstaden;29665;1860392;1.59
2021-02-03;Hovedstaden;32592;1860392;1.75
2021-02-04;Hovedstaden;39004;1860392;2.10
2021-02-05;Hovedstaden;43824;1860392;2.36
2021-02-06;Hovedstaden;46807;1860392;2.52
2021-02-07;Hovedstaden;47376;1860392;2.55
2021-02-08;Hovedstaden;48511;1860392;2.61
2021-02-09;Hovedstaden;48550;1860392;2.61
2021-02-10;Hovedstaden;49487;1860392;2.66
2021-02-11;Hovedstaden;49729;1860392;2.67
2021-02-12;Hovedstaden;53883;1860392;2.90
2021-02-13;Hovedstaden;53893;1860392;2.90
2021-02-14;Hovedstaden;53905;1860392;2.90
2021-02-15;Hovedstaden;55279;1860392;2.97
2021-02-16;Hovedstaden;55685;1860392;2.99
2021-02-17;Hovedstaden;55717;1860392;2.99
2021-02-18;Hovedstaden;55794;1860392;3.00
2021-02-19;Hovedstaden;55839;1860392;3.00
2021-02-20;Hovedstaden;55939;1860392;3.01
2021-02-21;Hovedstaden;56044;1860392;3.01
2021-02-22;Hovedstaden;56188;1860392;3.02
2021-02-23;Hovedstaden;56342;1860392;3.03
2021-02-24;Hovedstaden;56416;1860392;3.03
2021-02-25;Hovedstaden;56451;1860392;3.03
2021-02-26;Hovedstaden;56516;1860392;3.04
2021-02-27;Hovedstaden;57598;1860392;3.10
2021-02-28;Hovedstaden;58714;1860392;3.16
2021-03-01;Hovedstaden;58937;1860392;3.17
2021-03-02;Hovedstaden;59192;1860392;3.18
2021-03-03;Hovedstaden;59235;1860392;3.18
2021-03-04;Hovedstaden;59432;1860392;3.19
2021-03-05;Hovedstaden;59699;1860392;3.21
2021-03-06;Hovedstaden;59794;1860392;3.21
2021-03-07;Hovedstaden;60114;1860392;3.23
2021-03-08;Hovedstaden;60353;1860392;3.24
2021-03-09;Hovedstaden;61783;1860392;3.32
2021-03-10;Hovedstaden;63463;1860392;3.41
2021-03-11;Hovedstaden;67794;1860392;3.64
2021-03-12;Hovedstaden;72591;1860392;3.90
2021-03-13;Hovedstaden;72678;1860392;3.91
2021-03-14;Hovedstaden;75897;1860392;4.08
2021-03-15;Hovedstaden;78638;1860392;4.23
2021-03-16;Hovedstaden;82145;1860392;4.42
2021-03-17;Hovedstaden;86527;1860392;4.65
2021-03-18;Hovedstaden;90893;1860392;4.89
2021-03-19;Hovedstaden;92056;1860392;4.95
2021-03-20;Hovedstaden;92143;1860392;4.95
2021-03-21;Hovedstaden;94211;1860392;5.06
2021-03-22;Hovedstaden;94294;1860392;5.07
2021-03-23;Hovedstaden;94406;1860392;5.07
2021-03-24;Hovedstaden;102948;1860392;5.53
