"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-01;50-59;Syddanmark;1;0
2020-12-08;40-49;Nordjylland;1;0
2020-12-16;20-29;Hovedstaden;1;0
2020-12-17;30-39;Hovedstaden;1;0
2020-12-18;30-39;Hovedstaden;1;0
2020-12-19;80-89;Hovedstaden;1;0
2020-12-21;30-39;Midtjylland;1;0
2020-12-21;40-49;Hovedstaden;2;0
2020-12-22;30-39;Midtjylland;1;0
2020-12-22;40-49;Midtjylland;1;0
2020-12-22;20-29;Syddanmark;1;0
2020-12-22;30-39;Syddanmark;1;0
2020-12-22;60-69;Hovedstaden;1;0
2020-12-23;40-49;Midtjylland;1;0
2020-12-23;90+;Midtjylland;1;0
2020-12-23;50-59;Hovedstaden;1;0
2020-12-23;90+;Hovedstaden;1;0
2020-12-24;20-29;Hovedstaden;1;0
2020-12-24;40-49;Hovedstaden;1;0
2020-12-24;70-79;Hovedstaden;1;0
2020-12-24;20-29;Sjælland;1;0
2020-12-26;20-29;Hovedstaden;1;0
2020-12-26;60-69;Hovedstaden;1;0
2020-12-26;70-79;Hovedstaden;1;0
2020-12-26;30-39;Sjælland;1;0
2020-12-26;50-59;Sjælland;1;0
2020-12-27;20-29;Nordjylland;127;0
2020-12-27;30-39;Nordjylland;114;0
2020-12-27;40-49;Nordjylland;138;0
2020-12-27;50-59;Nordjylland;173;0
2020-12-27;60-69;Nordjylland;138;0
2020-12-27;70-79;Nordjylland;77;0
2020-12-27;80-89;Nordjylland;115;0
2020-12-27;90+;Nordjylland;72;0
2020-12-27;10-19;Midtjylland;8;0
2020-12-27;20-29;Midtjylland;151;0
2020-12-27;30-39;Midtjylland;189;0
2020-12-27;40-49;Midtjylland;258;0
2020-12-27;50-59;Midtjylland;295;0
2020-12-27;60-69;Midtjylland;269;0
2020-12-27;70-79;Midtjylland;180;0
2020-12-27;80-89;Midtjylland;245;0
2020-12-27;90+;Midtjylland;123;0
2020-12-27;20-29;Syddanmark;16;0
2020-12-27;30-39;Syddanmark;22;0
2020-12-27;40-49;Syddanmark;51;0
2020-12-27;50-59;Syddanmark;76;0
2020-12-27;60-69;Syddanmark;43;0
2020-12-27;70-79;Syddanmark;65;0
2020-12-27;80-89;Syddanmark;85;0
2020-12-27;90+;Syddanmark;61;0
2020-12-27;10-19;Hovedstaden;1;0
2020-12-27;20-29;Hovedstaden;164;0
2020-12-27;30-39;Hovedstaden;300;0
2020-12-27;40-49;Hovedstaden;330;0
2020-12-27;50-59;Hovedstaden;327;0
2020-12-27;60-69;Hovedstaden;253;0
2020-12-27;70-79;Hovedstaden;66;0
2020-12-27;80-89;Hovedstaden;74;0
