"Første vacc. dato";"kommunenavn";"Antal første vacc.";"c_kom_num"
2020-12-01;Aabenraa;1;580
2020-12-08;Aalborg;1;851
2020-12-16;Brøndby;1;153
2020-12-17;Frederikssund;1;250
2020-12-18;Gentofte;1;157
2020-12-19;Frederiksberg;1;147
2020-12-21;København;1;101
2020-12-21;Gentofte;1;157
2020-12-21;Århus;1;751
2020-12-22;København;1;101
2020-12-22;Odense;1;461
2020-12-22;Kolding;1;621
2020-12-22;Odder;1;727
2020-12-22;Århus;1;751
2020-12-23;København;2;101
2020-12-23;Århus;2;751
2020-12-24;København;2;101
2020-12-24;Gladsaxe;1;159
2020-12-24;Næstved;1;370
2020-12-26;København;1;101
2020-12-26;Allerød;1;201
2020-12-26;Roskilde;1;265
2020-12-26;Ringsted;1;329
2020-12-26;Bornholm;1;400
2020-12-27;København;633;101
2020-12-27;Frederiksberg;89;147
2020-12-27;Ballerup;26;151
2020-12-27;Brøndby;16;153
2020-12-27;Dragør;8;155
2020-12-27;Gentofte;42;157
2020-12-27;Gladsaxe;50;159
2020-12-27;Glostrup;14;161
2020-12-27;Herlev;52;163
2020-12-27;Albertslund;19;165
2020-12-27;Hvidovre;48;167
2020-12-27;Høje Tåstrup;34;169
2020-12-27;Lyngby-Taarbæk;49;173
2020-12-27;Rødovre;24;175
2020-12-27;Ishøj;92;183
2020-12-27;Tårnby;16;185
2020-12-27;Vallensbæk;12;187
2020-12-27;Furesø;28;190
2020-12-27;Allerød;18;201
2020-12-27;Fredensborg;20;210
2020-12-27;Helsingør;34;217
2020-12-27;Hillerød;59;219
2020-12-27;Hørsholm;13;223
2020-12-27;Rudersdal;31;230
2020-12-27;Egedal;25;240
2020-12-27;Frederikssund;15;250
2020-12-27;Greve;212;253
2020-12-27;Køge;61;259
2020-12-27;Halsnæs;16;260
2020-12-27;Roskilde;52;265
2020-12-27;Solrød;112;269
2020-12-27;Gribskov;27;270
2020-12-27;Odsherred;4;306
2020-12-27;Holbæk;49;316
2020-12-27;Faxe;16;320
2020-12-27;Kalundborg;23;326
2020-12-27;Ringsted;14;329
2020-12-27;Slagelse;477;330
2020-12-27;Stevns;20;336
2020-12-27;Sorø;22;340
2020-12-27;Lejre;10;350
2020-12-27;Lolland;8;360
2020-12-27;Næstved;33;370
2020-12-27;Guldborgsund;56;376
2020-12-27;Vordingborg;15;390
2020-12-27;Bornholm;61;400
2020-12-27;Middelfart;6;410
2020-12-27;Assens;6;420
2020-12-27;Faaborg-Midtfyn;11;430
2020-12-27;Kerteminde;3;440
2020-12-27;Nyborg;6;450
2020-12-27;Odense;378;461
2020-12-27;Svendborg;1;479
2020-12-27;Nordfyn;4;480
2020-12-27;Horsens;53;615
2020-12-27;Kolding;1;621
2020-12-27;Vejle;3;630
2020-12-27;Herning;71;657
2020-12-27;Holstebro;16;661
2020-12-27;Lemvig;1;665
2020-12-27;Struer;2;671
2020-12-27;Syddjurs;47;706
2020-12-27;Norddjurs;8;707
2020-12-27;Favrskov;29;710
2020-12-27;Odder;19;727
2020-12-27;Randers;70;730
2020-12-27;Silkeborg;23;740
2020-12-27;Samsø;1;741
2020-12-27;Skanderborg;43;746
2020-12-27;Århus;1245;751
2020-12-27;Ikast-Brande;10;756
2020-12-27;Ringkøbing-Skjern;15;760
2020-12-27;Hedensted;10;766
2020-12-27;Morsø;1;773
2020-12-27;Skive;7;779
2020-12-27;Thisted;3;787
2020-12-27;Viborg;49;791
2020-12-27;Brønderslev;29;810
2020-12-27;Frederikshavn;14;813
2020-12-27;Vesthimmerland;10;820
2020-12-27;Rebild;39;840
2020-12-27;Mariagerfjord;24;846
2020-12-27;Jammerbugt;18;849
2020-12-27;Aalborg;740;851
2020-12-27;Hjørring;77;860
2020-12-28;København;174;101
2020-12-28;Frederiksberg;18;147
2020-12-28;Ballerup;14;151
2020-12-28;Brøndby;12;153
2020-12-28;Gentofte;18;157
2020-12-28;Gladsaxe;18;159
2020-12-28;Glostrup;3;161
2020-12-28;Herlev;119;163
2020-12-28;Albertslund;5;165
2020-12-28;Hvidovre;5;167
2020-12-28;Høje Tåstrup;7;169
2020-12-28;Lyngby-Taarbæk;16;173
2020-12-28;Rødovre;6;175
2020-12-28;Ishøj;5;183
2020-12-28;Tårnby;4;185
2020-12-28;Vallensbæk;1;187
2020-12-28;Furesø;11;190
2020-12-28;Allerød;1;201
2020-12-28;Fredensborg;3;210
2020-12-28;Helsingør;2;217
2020-12-28;Hillerød;4;219
2020-12-28;Hørsholm;4;223
2020-12-28;Rudersdal;10;230
2020-12-28;Egedal;9;240
