"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2020-12-08;40-64;Nordjylland;1;0
2020-12-11;20-39;Nordjylland;1;0
2020-12-16;20-39;Hovedstaden;1;0
2020-12-17;20-39;Hovedstaden;1;0
2020-12-18;20-39;Hovedstaden;1;0
2020-12-18;16-19;Sjælland;1;0
2020-12-19;80+;Hovedstaden;1;0
2020-12-20;40-64;Hovedstaden;1;0
2020-12-21;20-39;Midtjylland;1;0
2020-12-21;20-39;Hovedstaden;1;0
2020-12-21;40-64;Hovedstaden;1;0
2020-12-22;20-39;Midtjylland;1;0
2020-12-22;40-64;Midtjylland;1;0
2020-12-22;20-39;Syddanmark;2;0
2020-12-22;40-64;Hovedstaden;1;0
2020-12-23;40-64;Midtjylland;1;0
2020-12-23;80+;Midtjylland;1;0
2020-12-23;40-64;Hovedstaden;1;0
2020-12-23;80+;Hovedstaden;1;0
2020-12-24;20-39;Hovedstaden;1;0
2020-12-24;40-64;Hovedstaden;1;0
2020-12-24;65-79;Hovedstaden;1;0
2020-12-24;20-39;Sjælland;1;0
2020-12-26;20-39;Hovedstaden;1;0
2020-12-26;65-79;Hovedstaden;2;0
2020-12-26;20-39;Sjælland;1;0
2020-12-26;40-64;Sjælland;1;0
2020-12-27;16-19;Nordjylland;3;0
2020-12-27;20-39;Nordjylland;253;0
2020-12-27;40-64;Nordjylland;402;0
2020-12-27;65-79;Nordjylland;116;0
2020-12-27;80+;Nordjylland;166;0
2020-12-27;16-19;Midtjylland;14;0
2020-12-27;20-39;Midtjylland;362;0
2020-12-27;40-64;Midtjylland;711;0
2020-12-27;65-79;Midtjylland;269;0
2020-12-27;80+;Midtjylland;342;0
2020-12-27;16-19;Syddanmark;2;0
2020-12-27;20-39;Syddanmark;39;0
2020-12-27;40-64;Syddanmark;156;0
2020-12-27;65-79;Syddanmark;83;0
2020-12-27;80+;Syddanmark;128;0
2020-12-27;16-19;Hovedstaden;2;0
2020-12-27;20-39;Hovedstaden;496;0
2020-12-27;40-64;Hovedstaden;812;0
2020-12-27;65-79;Hovedstaden;136;0
2020-12-27;80+;Hovedstaden;113;0
2020-12-27;12-15;Sjælland;1;0
2020-12-27;16-19;Sjælland;1;0
2020-12-27;20-39;Sjælland;162;0
2020-12-27;40-64;Sjælland;467;0
2020-12-27;65-79;Sjælland;217;0
2020-12-27;80+;Sjælland;313;0
2020-12-28;20-39;Nordjylland;25;0
2020-12-28;40-64;Nordjylland;75;0
2020-12-28;65-79;Nordjylland;5;0
2020-12-28;20-39;Midtjylland;59;0
2020-12-28;40-64;Midtjylland;124;0
2020-12-28;65-79;Midtjylland;11;0
2020-12-28;12-15;Syddanmark;1;0
2020-12-28;16-19;Syddanmark;2;0
2020-12-28;20-39;Syddanmark;112;0
2020-12-28;40-64;Syddanmark;309;0
2020-12-28;65-79;Syddanmark;72;0
2020-12-28;80+;Syddanmark;95;0
2020-12-28;16-19;Hovedstaden;3;0
2020-12-28;20-39;Hovedstaden;137;0
2020-12-28;40-64;Hovedstaden;199;0
2020-12-28;65-79;Hovedstaden;65;0
2020-12-28;80+;Hovedstaden;62;0
2020-12-28;20-39;Sjælland;141;0
2020-12-28;40-64;Sjælland;381;0
2020-12-28;65-79;Sjælland;29;0
2020-12-28;80+;Sjælland;1;0
2020-12-29;16-19;Nordjylland;3;0
2020-12-29;20-39;Nordjylland;25;0
2020-12-29;40-64;Nordjylland;117;1
2020-12-29;65-79;Nordjylland;43;0
2020-12-29;80+;Nordjylland;83;0
2020-12-29;16-19;Midtjylland;5;0
2020-12-29;20-39;Midtjylland;211;0
2020-12-29;40-64;Midtjylland;464;0
2020-12-29;65-79;Midtjylland;117;0
2020-12-29;80+;Midtjylland;196;0
2020-12-29;16-19;Syddanmark;3;0
2020-12-29;20-39;Syddanmark;348;0
2020-12-29;40-64;Syddanmark;920;0
2020-12-29;65-79;Syddanmark;204;0
2020-12-29;80+;Syddanmark;256;0
2020-12-29;16-19;Hovedstaden;7;0
2020-12-29;20-39;Hovedstaden;1023;0
2020-12-29;40-64;Hovedstaden;1787;0
2020-12-29;65-79;Hovedstaden;301;0
2020-12-29;80+;Hovedstaden;242;0
2020-12-29;20-39;Sjælland;353;0
2020-12-29;40-64;Sjælland;912;0
2020-12-29;65-79;Sjælland;241;0
2020-12-29;80+;Sjælland;276;0
2020-12-30;16-19;Nordjylland;17;0
2020-12-30;20-39;Nordjylland;461;0
2020-12-30;40-64;Nordjylland;1005;0
2020-12-30;65-79;Nordjylland;194;0
2020-12-30;80+;Nordjylland;340;0
2020-12-30;16-19;Midtjylland;7;0
2020-12-30;20-39;Midtjylland;289;0
2020-12-30;40-64;Midtjylland;596;0
2020-12-30;65-79;Midtjylland;112;0
2020-12-30;80+;Midtjylland;144;0
2020-12-30;16-19;Syddanmark;5;0
2020-12-30;20-39;Syddanmark;508;0
2020-12-30;40-64;Syddanmark;1142;0
2020-12-30;65-79;Syddanmark;253;0
2020-12-30;80+;Syddanmark;300;0
2020-12-30;16-19;Hovedstaden;16;0
2020-12-30;20-39;Hovedstaden;1067;0
2020-12-30;40-64;Hovedstaden;1802;0
2020-12-30;65-79;Hovedstaden;266;0
2020-12-30;80+;Hovedstaden;201;0
2020-12-30;16-19;Sjælland;4;0
2020-12-30;20-39;Sjælland;308;0
2020-12-30;40-64;Sjælland;885;0
2020-12-30;65-79;Sjælland;210;0
2020-12-30;80+;Sjælland;311;0
2020-12-31;16-19;Nordjylland;9;0
2020-12-31;20-39;Nordjylland;99;0
2020-12-31;40-64;Nordjylland;260;0
2020-12-31;65-79;Nordjylland;82;0
2020-12-31;80+;Nordjylland;135;0
2020-12-31;16-19;Midtjylland;1;0
2020-12-31;20-39;Midtjylland;180;0
2020-12-31;40-64;Midtjylland;450;0
2020-12-31;65-79;Midtjylland;136;0
2020-12-31;80+;Midtjylland;230;0
2020-12-31;16-19;Syddanmark;4;0
2020-12-31;20-39;Syddanmark;245;0
2020-12-31;40-64;Syddanmark;639;0
2020-12-31;65-79;Syddanmark;135;0
2020-12-31;80+;Syddanmark;168;0
2020-12-31;16-19;Hovedstaden;5;0
2020-12-31;20-39;Hovedstaden;377;0
2020-12-31;40-64;Hovedstaden;725;0
2020-12-31;65-79;Hovedstaden;179;0
2020-12-31;80+;Hovedstaden;237;0
2020-12-31;16-19;Sjælland;1;0
2020-12-31;20-39;Sjælland;171;0
2020-12-31;40-64;Sjælland;565;0
2020-12-31;65-79;Sjælland;181;0
2020-12-31;80+;Sjælland;226;0
2021-01-01;20-39;Nordjylland;3;0
2021-01-01;40-64;Nordjylland;5;0
2021-01-01;16-19;Midtjylland;1;0
2021-01-01;20-39;Midtjylland;39;0
