År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med fuld effekt efter primært vaccinationsforløb;Bekræftede tilfælde blandt beboere med fuld effekt efter revaccination;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;    7;    0;  0;  0;  6;    119;108
2020;12;   24;    3;  0;  0; 16;    253;189
2020;13;   68;   15;  0;  0; 31;    433;250
2020;14;  144;   35;  0;  0; 43;  1.134;361
2020;15;   84;   37;  0;  0; 34;    703;337
2020;16;   76;   30;  0;  0; 34;    914;342
2020;17;   80;   26;  0;  0; 35;  2.285;458
2020;18;   37;   25;  0;  0; 22;  2.465;484
2020;19;   20;   20;  0;  0; 15;  3.095;493
2020;20;   11;    9;  0;  0;  9;  2.528;478
2020;21;    7;    3;  0;  0;  4;  1.616;485
2020;22;   10;    4;  0;  0;  3;  1.530;430
2020;23;    3;    4;  0;  0;  2;  1.260;453
2020;24;   15;    1;  0;  0;  2;  1.058;440
2020;25;    7;    1;  0;  0;  5;  1.888;492
2020;26;    2;    2;  0;  0;  2;  1.927;506
2020;27;    4;    1;  0;  0;  3;  1.728;506
2020;28;    1;    1;  0;  0;  1;  1.551;481
2020;29;    5;    0;  0;  0;  2;  1.197;501
2020;30;    2;    1;  0;  0;  2;  1.241;480
2020;31;    0;    0;  0;  0;  0;  1.575;501
2020;32;    1;    2;  0;  0;  1;  1.613;546
2020;33;    0;    1;  0;  0;  0;  1.470;556
2020;34;    1;    0;  0;  0;  1;  1.336;545
2020;35;    0;    0;  0;  0;  0;  1.300;497
2020;36;    3;    0;  0;  0;  3;  1.329;535
2020;37;   15;    0;  0;  0;  8;  2.155;564
2020;38;   19;    5;  0;  0;  8;  2.950;571
2020;39;   21;    3;  0;  0; 10;  3.149;568
2020;40;   12;    5;  0;  0;  6;  2.972;573
2020;41;   13;    3;  0;  0; 11;  2.620;550
2020;42;   14;    7;  0;  0;  8;  2.662;525
2020;43;   28;    7;  0;  0; 11;  3.590;561
2020;44;   30;    2;  0;  0; 18;  4.614;569
2020;45;   33;    8;  0;  0; 20;  5.439;576
2020;46;   51;    8;  0;  0; 20;  5.697;570
2020;47;   84;   10;  0;  0; 29;  6.924;605
2020;48;   96;   11;  0;  0; 25;  6.378;595
2020;49;  118;   21;  0;  0; 36;  7.383;645
2020;50;  216;   22;  0;  0; 59;  7.816;613
2020;51;  318;   48;  0;  0;104; 10.159;659
2020;52;  407;   62;  0;  0;117; 10.210;621
2020;53;  473;   87;  0;  0;129; 11.286;621
2021;1;  471;   81;  0;  0;127; 11.988;646
2021;2;  359;  110;  0;  0;102; 11.940;628
2021;3;  160;   81;  0;  0; 72; 10.200;664
2021;4;   85;   55;  0;  0; 54;  8.299;609
2021;5;   47;   38;  0;  0; 22;  7.125;597
2021;6;   13;   23;  4;  0;  8;  5.504;576
2021;7;    6;    7;  4;  0;  6;  4.109;557
2021;8;    8;    2;  8;  0;  5;  3.460;538
2021;9;    5;    0;  5;  0;  4;  3.107;567
2021;10;    1;    2;  1;  0;  1;  3.159;572
2021;11;    3;    0;  1;  0;  3;  3.048;569
2021;12;    4;    0;  3;  0;  4;  2.655;568
2021;13;    2;    0;  2;  0;  2;  1.715;496
2021;14;   14;    1; 12;  0;  8;  1.785;513
2021;15;   17;    3; 14;  0;  9;  2.852;552
2021;16;   15;    3; 13;  0;  8;  2.862;532
2021;17;    7;    3;  7;  0;  6;  2.564;536
2021;18;    7;    0;  6;  0;  4;  2.750;543
2021;19;    6;    1;  5;  0;  6;  2.136;465
2021;20;    1;    1;  0;  0;  1;  2.206;432
2021;21;    1;    0;  1;  0;  1;  1.508;378
2021;22;   14;    0; 14;  0;  2;  1.619;347
2021;23;    5;    1;  4;  0;  5;  1.436;324
2021;24;    3;    0;  2;  0;  2;  1.032;273
2021;25;    0;    0;  0;  0;  0;    791;248
2021;26;    0;    0;  0;  0;  0;  1.122;230
2021;27;    5;    0;  5;  0;  2;  1.348;248
2021;28;    5;    1;  5;  0;  4;  1.959;278
2021;29;    7;    0;  7;  0;  5;  2.203;253
2021;30;   11;    3;  8;  0;  7;  2.425;270
2021;31;    7;    3;  7;  0;  4;  2.570;264
2021;32;   15;    2; 14;  0;  8;  3.121;280
2021;33;   19;    0; 19;  0; 12;  2.798;285
2021;34;   32;    3; 29;  0; 15;  3.253;298
2021;35;   36;    1; 33;  0; 16;  3.965;317
2021;36;   45;   12; 45;  0; 18;  4.389;365
2021;37;   23;    6; 22;  0; 11;  2.896;301
2021;38;   18;    6; 17;  0;  9;  2.917;298
2021;39;    3;    6;  3;  0;  3;  2.742;298
2021;40;   14;    1;  7;  4;  6;  2.589;283
2021;41;    3;    4;  0;  3;  3;  3.181;321
2021;42;   16;    1;  5;  9;  8;  4.220;405
2021;43;   14;    3;  5;  5; 10;  5.532;466
2021;44;   26;    4;  7; 18; 18;  7.154;498
2021;45;   25;    4;  9; 13; 21;  7.265;525
2021;46;   52;    2; 10; 39; 28;  7.911;561
2021;47;   29;    8;  7; 21; 21;  8.630;595
2021;48;   54;    6;  8; 40; 30;  9.064;602
2021;49;   87;    6; 10; 70; 46;  9.878;643
I alt;;4.360;1.024;388;222;489;336.534;956
