"Faerdigvacc. dato";"kommunenavn";"Antal faerdigvacc.";"c_kom_num"
2021-01-04;Vejle;1;630
2021-01-07;Vejle;1;630
2021-01-08;Lyngby-Taarbæk;1;173
2021-01-09;Frederiksberg;1;147
2021-01-12;Odder;1;727
2021-01-13;København;1;101
2021-01-14;Gladsaxe;1;159
2021-01-15;København;1;101
2021-01-15;Frederiksberg;2;147
2021-01-15;Ballerup;1;151
2021-01-15;Gladsaxe;1;159
2021-01-16;Greve;1;253
2021-01-16;Skanderborg;1;746
2021-01-16;Århus;6;751
2021-01-17;København;20;101
2021-01-17;Frederiksberg;4;147
2021-01-17;Gentofte;3;157
2021-01-17;Gladsaxe;1;159
2021-01-17;Albertslund;1;165
2021-01-17;Hvidovre;3;167
2021-01-17;Høje Tåstrup;2;169
2021-01-17;Lyngby-Taarbæk;1;173
2021-01-17;Allerød;2;201
2021-01-17;Fredensborg;1;210
2021-01-17;Rudersdal;1;230
2021-01-17;Egedal;2;240
2021-01-17;Greve;5;253
2021-01-17;Køge;31;259
2021-01-17;Roskilde;15;265
2021-01-17;Solrød;7;269
2021-01-17;Odsherred;4;306
2021-01-17;Holbæk;34;316
2021-01-17;Faxe;7;320
2021-01-17;Kalundborg;9;326
2021-01-17;Ringsted;8;329
2021-01-17;Slagelse;25;330
2021-01-17;Stevns;12;336
2021-01-17;Sorø;3;340
2021-01-17;Lejre;2;350
2021-01-17;Næstved;13;370
2021-01-17;Guldborgsund;19;376
2021-01-17;Vordingborg;6;390
2021-01-17;Middelfart;2;410
2021-01-17;Assens;6;420
2021-01-17;Faaborg-Midtfyn;9;430
2021-01-17;Kerteminde;3;440
2021-01-17;Nyborg;6;450
2021-01-17;Odense;391;461
2021-01-17;Svendborg;1;479
2021-01-17;Nordfyn;3;480
2021-01-17;Århus;2;751
2021-01-17;Aalborg;1;851
2021-01-18;København;46;101
2021-01-18;Frederiksberg;15;147
2021-01-18;Ballerup;3;151
2021-01-18;Brøndby;5;153
2021-01-18;Gentofte;8;157
2021-01-18;Gladsaxe;3;159
2021-01-18;Glostrup;2;161
2021-01-18;Herlev;2;163
2021-01-18;Albertslund;6;165
2021-01-18;Hvidovre;4;167
