"Faerdigvacc. dato";"kommunenavn";"Antal faerdigvacc.";"c_kom_num"
2021-01-01;Aabenraa;1;580
2021-01-04;Vejle;1;630
2021-01-07;Vejle;1;630
2021-01-08;Gentofte;1;157
2021-01-09;Frederiksberg;1;147
2021-01-09;Gentofte;1;157
2021-01-12;Odense;1;461
2021-01-12;Odder;1;727
2021-01-13;København;1;101
2021-01-13;Århus;1;751
2021-01-14;Gladsaxe;1;159
2021-01-15;København;1;101
2021-01-15;Frederiksberg;2;147
2021-01-15;Ballerup;1;151
2021-01-15;Gladsaxe;1;159
2021-01-16;København;1;101
2021-01-16;Greve;1;253
2021-01-16;Skanderborg;1;746
2021-01-16;Århus;6;751
2021-01-17;København;21;101
2021-01-17;Frederiksberg;4;147
2021-01-17;Gentofte;2;157
2021-01-17;Gladsaxe;1;159
2021-01-17;Albertslund;1;165
2021-01-17;Hvidovre;3;167
2021-01-17;Høje Tåstrup;2;169
2021-01-17;Lyngby-Taarbæk;1;173
2021-01-17;Allerød;2;201
2021-01-17;Fredensborg;1;210
2021-01-17;Rudersdal;1;230
2021-01-17;Egedal;2;240
2021-01-17;Greve;5;253
2021-01-17;Køge;31;259
2021-01-17;Roskilde;15;265
2021-01-17;Solrød;7;269
2021-01-17;Odsherred;4;306
2021-01-17;Holbæk;34;316
2021-01-17;Faxe;7;320
2021-01-17;Kalundborg;9;326
2021-01-17;Ringsted;8;329
2021-01-17;Slagelse;25;330
2021-01-17;Stevns;12;336
2021-01-17;Sorø;3;340
2021-01-17;Lejre;2;350
2021-01-17;Næstved;13;370
2021-01-17;Guldborgsund;19;376
2021-01-17;Vordingborg;6;390
2021-01-17;Middelfart;2;410
2021-01-17;Assens;6;420
2021-01-17;Faaborg-Midtfyn;9;430
2021-01-17;Kerteminde;3;440
2021-01-17;Nyborg;6;450
2021-01-17;Odense;372;461
2021-01-17;Svendborg;1;479
2021-01-17;Nordfyn;3;480
2021-01-17;Århus;2;751
2021-01-17;Aalborg;1;851
2021-01-18;København;49;101
2021-01-18;Frederiksberg;15;147
2021-01-18;Ballerup;3;151
2021-01-18;Brøndby;5;153
2021-01-18;Gentofte;8;157
2021-01-18;Gladsaxe;3;159
2021-01-18;Glostrup;2;161
2021-01-18;Herlev;2;163
2021-01-18;Albertslund;5;165
2021-01-18;Hvidovre;4;167
2021-01-18;Høje Tåstrup;5;169
2021-01-18;Lyngby-Taarbæk;4;173
2021-01-18;Rødovre;2;175
2021-01-18;Ishøj;3;183
2021-01-18;Tårnby;3;185
2021-01-18;Vallensbæk;1;187
2021-01-18;Furesø;5;190
2021-01-18;Allerød;1;201
2021-01-18;Hillerød;2;219
2021-01-18;Hørsholm;1;223
2021-01-18;Rudersdal;5;230
2021-01-18;Egedal;6;240
2021-01-18;Frederikssund;2;250
2021-01-18;Greve;186;253
2021-01-18;Køge;43;259
2021-01-18;Roskilde;46;265
2021-01-18;Solrød;105;269
2021-01-18;Odsherred;12;306
2021-01-18;Holbæk;71;316
2021-01-18;Faxe;15;320
2021-01-18;Kalundborg;29;326
2021-01-18;Ringsted;15;329
2021-01-18;Slagelse;504;330
2021-01-18;Stevns;6;336
2021-01-18;Sorø;31;340
2021-01-18;Lejre;10;350
2021-01-18;Lolland;13;360
2021-01-18;Næstved;38;370
2021-01-18;Guldborgsund;65;376
2021-01-18;Vordingborg;13;390
2021-01-18;Bornholm;1;400
2021-01-18;Middelfart;6;410
2021-01-18;Assens;8;420
2021-01-18;Faaborg-Midtfyn;12;430
2021-01-18;Kerteminde;9;440
2021-01-18;Nyborg;14;450
2021-01-18;Odense;401;461
2021-01-18;Svendborg;1;479
2021-01-18;Nordfyn;15;480
2021-01-18;Fredericia;1;607
2021-01-18;Horsens;1;615
2021-01-18;Kolding;1;621
2021-01-18;Vejle;1;630
2021-01-18;Herning;68;657
2021-01-18;Holstebro;17;661
2021-01-18;Lemvig;1;665
2021-01-18;Struer;2;671
2021-01-18;Favrskov;3;710
2021-01-18;Randers;1;730
2021-01-18;Silkeborg;6;740
2021-01-18;Skanderborg;1;746
2021-01-18;Århus;11;751
2021-01-18;Ikast-Brande;9;756
2021-01-18;Ringkøbing-Skjern;13;760
2021-01-18;Hedensted;1;766
2021-01-18;Skive;4;779
2021-01-18;Viborg;28;791
2021-01-18;Vesthimmerland;1;820
2021-01-18;Aalborg;3;851
2021-01-19;København;80;101
2021-01-19;Frederiksberg;7;147
2021-01-19;Ballerup;2;151
2021-01-19;Brøndby;1;153
2021-01-19;Dragør;1;155
2021-01-19;Gentofte;8;157
2021-01-19;Gladsaxe;3;159
2021-01-19;Glostrup;3;161
2021-01-19;Herlev;2;163
2021-01-19;Albertslund;2;165
2021-01-19;Hvidovre;7;167
2021-01-19;Høje Tåstrup;6;169
2021-01-19;Lyngby-Taarbæk;3;173
2021-01-19;Rødovre;3;175
2021-01-19;Ishøj;5;183
2021-01-19;Tårnby;3;185
2021-01-19;Vallensbæk;2;187
2021-01-19;Furesø;8;190
2021-01-19;Helsingør;1;217
2021-01-19;Hillerød;3;219
2021-01-19;Hørsholm;1;223
2021-01-19;Rudersdal;9;230
2021-01-19;Egedal;7;240
2021-01-19;Frederikssund;3;250
2021-01-19;Greve;74;253
2021-01-19;Køge;50;259
2021-01-19;Roskilde;59;265
2021-01-19;Solrød;20;269
2021-01-19;Odsherred;24;306
2021-01-19;Holbæk;168;316
2021-01-19;Faxe;23;320
2021-01-19;Kalundborg;172;326
2021-01-19;Ringsted;183;329
2021-01-19;Slagelse;62;330
2021-01-19;Stevns;13;336
2021-01-19;Sorø;20;340
2021-01-19;Lejre;21;350
2021-01-19;Lolland;15;360
2021-01-19;Næstved;145;370
2021-01-19;Guldborgsund;96;376
2021-01-19;Vordingborg;193;390
2021-01-19;Bornholm;1;400
2021-01-19;Middelfart;5;410
2021-01-19;Assens;7;420
2021-01-19;Faaborg-Midtfyn;18;430
2021-01-19;Kerteminde;7;440
2021-01-19;Nyborg;1;450
2021-01-19;Odense;362;461
2021-01-19;Svendborg;3;479
2021-01-19;Nordfyn;4;480
2021-01-19;Billund;1;530
2021-01-19;Vejen;1;575
2021-01-19;Fredericia;2;607
2021-01-19;Vejle;2;630
2021-01-19;Randers;1;730
2021-01-19;Århus;6;751
2021-01-19;Skive;1;779
2021-01-19;Viborg;3;791
2021-01-19;Brønderslev;1;810
2021-01-19;Aalborg;1;851
2021-01-20;København;51;101
2021-01-20;Frederiksberg;7;147
2021-01-20;Ballerup;4;151
2021-01-20;Brøndby;1;153
2021-01-20;Dragør;1;155
2021-01-20;Gentofte;8;157
2021-01-20;Gladsaxe;2;159
2021-01-20;Glostrup;3;161
2021-01-20;Albertslund;1;165
2021-01-20;Hvidovre;5;167
2021-01-20;Høje Tåstrup;15;169
2021-01-20;Lyngby-Taarbæk;4;173
2021-01-20;Ishøj;3;183
2021-01-20;Tårnby;2;185
2021-01-20;Furesø;4;190
2021-01-20;Fredensborg;2;210
2021-01-20;Helsingør;2;217
2021-01-20;Hillerød;4;219
2021-01-20;Hørsholm;2;223
2021-01-20;Rudersdal;1;230
2021-01-20;Egedal;3;240
2021-01-20;Frederikssund;6;250
2021-01-20;Greve;22;253
2021-01-20;Køge;34;259
2021-01-20;Roskilde;289;265
2021-01-20;Solrød;16;269
2021-01-20;Gribskov;2;270
2021-01-20;Odsherred;21;306
2021-01-20;Holbæk;95;316
2021-01-20;Faxe;14;320
2021-01-20;Kalundborg;117;326
2021-01-20;Ringsted;29;329
2021-01-20;Slagelse;124;330
2021-01-20;Stevns;9;336
2021-01-20;Sorø;25;340
2021-01-20;Lejre;18;350
2021-01-20;Lolland;9;360
2021-01-20;Næstved;231;370
2021-01-20;Guldborgsund;55;376
2021-01-20;Vordingborg;121;390
2021-01-20;Middelfart;1;410
2021-01-20;Assens;6;420
2021-01-20;Faaborg-Midtfyn;6;430
2021-01-20;Kerteminde;3;440
2021-01-20;Nyborg;1;450
2021-01-20;Odense;251;461
2021-01-20;Svendborg;1;479
2021-01-20;Nordfyn;2;480
2021-01-20;Langeland;3;482
2021-01-20;Ærø;2;492
2021-01-20;Billund;1;530
2021-01-20;Esbjerg;1;561
2021-01-20;Vejen;2;575
2021-01-20;Herning;32;657
2021-01-20;Holstebro;11;661
2021-01-20;Lemvig;2;665
2021-01-20;Randers;1;730
2021-01-20;Silkeborg;8;740
2021-01-20;Skanderborg;2;746
2021-01-20;Århus;7;751
2021-01-20;Ikast-Brande;4;756
2021-01-20;Ringkøbing-Skjern;6;760
2021-01-20;Skive;5;779
2021-01-20;Viborg;19;791
2021-01-20;Mariagerfjord;1;846
2021-01-20;Aalborg;3;851
2021-01-21;København;44;101
2021-01-21;Frederiksberg;9;147
2021-01-21;Ballerup;4;151
2021-01-21;Brøndby;1;153
2021-01-21;Dragør;2;155
2021-01-21;Gentofte;5;157
2021-01-21;Gladsaxe;4;159
2021-01-21;Herlev;1;163
2021-01-21;Albertslund;1;165
2021-01-21;Hvidovre;4;167
2021-01-21;Høje Tåstrup;14;169
2021-01-21;Lyngby-Taarbæk;5;173
2021-01-21;Ishøj;1;183
2021-01-21;Tårnby;1;185
2021-01-21;Vallensbæk;2;187
2021-01-21;Furesø;2;190
2021-01-21;Allerød;1;201
2021-01-21;Fredensborg;2;210
2021-01-21;Hillerød;4;219
2021-01-21;Rudersdal;3;230
2021-01-21;Egedal;4;240
2021-01-21;Frederikssund;4;250
2021-01-21;Greve;6;253
2021-01-21;Køge;168;259
2021-01-21;Roskilde;279;265
2021-01-21;Solrød;13;269
2021-01-21;Odsherred;8;306
2021-01-21;Holbæk;126;316
2021-01-21;Faxe;19;320
2021-01-21;Kalundborg;25;326
2021-01-21;Ringsted;25;329
2021-01-21;Slagelse;87;330
2021-01-21;Stevns;18;336
2021-01-21;Sorø;17;340
2021-01-21;Lejre;20;350
2021-01-21;Lolland;4;360
2021-01-21;Næstved;167;370
2021-01-21;Guldborgsund;16;376
2021-01-21;Vordingborg;97;390
2021-01-21;Middelfart;1;410
2021-01-21;Odense;6;461
2021-01-21;Svendborg;1;479
2021-01-21;Billund;39;530
2021-01-21;Sønderborg;1;540
2021-01-21;Tønder;3;550
2021-01-21;Esbjerg;260;561
2021-01-21;Fanø;30;563
2021-01-21;Varde;43;573
2021-01-21;Vejen;4;575
2021-01-21;Fredericia;2;607
2021-01-21;Horsens;90;615
2021-01-21;Kolding;1;621
2021-01-21;Vejle;10;630
2021-01-21;Herning;19;657
2021-01-21;Holstebro;9;661
2021-01-21;Struer;2;671
2021-01-21;Syddjurs;12;706
2021-01-21;Norddjurs;6;707
2021-01-21;Favrskov;17;710
2021-01-21;Odder;12;727
2021-01-21;Randers;49;730
2021-01-21;Silkeborg;25;740
2021-01-21;Samsø;1;741
2021-01-21;Skanderborg;22;746
2021-01-21;Århus;204;751
2021-01-21;Ikast-Brande;6;756
2021-01-21;Ringkøbing-Skjern;3;760
2021-01-21;Hedensted;22;766
2021-01-21;Morsø;1;773
2021-01-21;Skive;13;779
2021-01-21;Viborg;64;791
2021-01-21;Vesthimmerland;1;820
2021-01-21;Mariagerfjord;5;846
2021-01-21;Aalborg;3;851
2021-01-22;København;40;101
2021-01-22;Frederiksberg;8;147
2021-01-22;Ballerup;1;151
2021-01-22;Gentofte;4;157
2021-01-22;Gladsaxe;1;159
2021-01-22;Glostrup;2;161
2021-01-22;Albertslund;1;165
2021-01-22;Hvidovre;2;167
2021-01-22;Høje Tåstrup;6;169
