Date;Year;Age;Sex;Population;Daily_deaths
2019-01-01;2019;0-4;Male;156694; 0
2019-01-01;2019;0-4;Female;148269; 0
2019-01-01;2019;5-9;Male;160513; 0
2019-01-01;2019;5-9;Female;152740; 0
2019-01-01;2019;10-14;Male;173903; 0
2019-01-01;2019;10-14;Female;165351; 0
2019-01-01;2019;15-19;Male;176274; 1
2019-01-01;2019;15-19;Female;168141; 0
2019-01-01;2019;20-24;Male;198647; 0
2019-01-01;2019;20-24;Female;190343; 0
2019-01-01;2019;25-29;Male;201431; 0
2019-01-01;2019;25-29;Female;193458; 0
2019-01-01;2019;30-34;Male;177846; 0
2019-01-01;2019;30-34;Female;170428; 0
2019-01-01;2019;35-39;Male;168058; 0
2019-01-01;2019;35-39;Female;164829; 0
2019-01-01;2019;40-44;Male;186713; 1
2019-01-01;2019;40-44;Female;185852; 0
2019-01-01;2019;45-49;Male;195838; 0
2019-01-01;2019;45-49;Female;194245; 0
2019-01-01;2019;50-54;Male;212293; 3
2019-01-01;2019;50-54;Female;208488; 0
2019-01-01;2019;55-59;Male;188671; 5
2019-01-01;2019;55-59;Female;188323; 1
2019-01-01;2019;60-64;Male;169672; 5
2019-01-01;2019;60-64;Female;172998; 4
2019-01-01;2019;65-69;Male;156271; 9
2019-01-01;2019;65-69;Female;163988; 5
2019-01-01;2019;70-74;Male;158527; 8
2019-01-01;2019;70-74;Female;169738; 7
2019-01-01;2019;75-79;Male;103902; 5
2019-01-01;2019;75-79;Female;119891; 7
2019-01-01;2019;80-84;Male; 61706;20
2019-01-01;2019;80-84;Female; 80382;12
2019-01-01;2019;85-89;Male; 29482;12
2019-01-01;2019;85-89;Female; 47433;15
2019-01-01;2019;90-94;Male; 10558;12
2019-01-01;2019;90-94;Female; 24103; 7
2019-01-01;2019;95-99;Male;  1911; 2
2019-01-01;2019;95-99;Female;  7068;10
2019-01-01;2019;100+;Male;   163; 0
2019-01-01;2019;100+;Female;   940; 0
2019-01-02;2019;0-4;Male;156694; 0
2019-01-02;2019;0-4;Female;148269; 0
2019-01-02;2019;5-9;Male;160513; 0
2019-01-02;2019;5-9;Female;152740; 0
2019-01-02;2019;10-14;Male;173903; 0
2019-01-02;2019;10-14;Female;165351; 0
2019-01-02;2019;15-19;Male;176274; 0
2019-01-02;2019;15-19;Female;168141; 0
2019-01-02;2019;20-24;Male;198647; 1
2019-01-02;2019;20-24;Female;190343; 1
2019-01-02;2019;25-29;Male;201431; 0
2019-01-02;2019;25-29;Female;193458; 2
2019-01-02;2019;30-34;Male;177846; 1
2019-01-02;2019;30-34;Female;170428; 0
2019-01-02;2019;35-39;Male;168058; 3
2019-01-02;2019;35-39;Female;164829; 0
2019-01-02;2019;40-44;Male;186713; 1
2019-01-02;2019;40-44;Female;185852; 0
2019-01-02;2019;45-49;Male;195838; 1
2019-01-02;2019;45-49;Female;194245; 2
2019-01-02;2019;50-54;Male;212293; 2
2019-01-02;2019;50-54;Female;208488; 0
2019-01-02;2019;55-59;Male;188671; 6
2019-01-02;2019;55-59;Female;188323; 3
2019-01-02;2019;60-64;Male;169672; 8
2019-01-02;2019;60-64;Female;172998; 9
2019-01-02;2019;65-69;Male;156271;10
2019-01-02;2019;65-69;Female;163988; 2
2019-01-02;2019;70-74;Male;158527;16
2019-01-02;2019;70-74;Female;169738;15
2019-01-02;2019;75-79;Male;103902;10
2019-01-02;2019;75-79;Female;119891;11
2019-01-02;2019;80-84;Male; 61706;11
2019-01-02;2019;80-84;Female; 80382;12
2019-01-02;2019;85-89;Male; 29482;10
2019-01-02;2019;85-89;Female; 47433;14
2019-01-02;2019;90-94;Male; 10558; 4
2019-01-02;2019;90-94;Female; 24103;14
2019-01-02;2019;95-99;Male;  1911; 2
2019-01-02;2019;95-99;Female;  7068; 2
2019-01-02;2019;100+;Male;   163; 0
2019-01-02;2019;100+;Female;   940; 0
2019-01-03;2019;0-4;Male;156694; 0
2019-01-03;2019;0-4;Female;148269; 1
2019-01-03;2019;5-9;Male;160513; 0
2019-01-03;2019;5-9;Female;152740; 0
2019-01-03;2019;10-14;Male;173903; 0
2019-01-03;2019;10-14;Female;165351; 1
2019-01-03;2019;15-19;Male;176274; 0
2019-01-03;2019;15-19;Female;168141; 0
2019-01-03;2019;20-24;Male;198647; 1
2019-01-03;2019;20-24;Female;190343; 0
2019-01-03;2019;25-29;Male;201431; 0
2019-01-03;2019;25-29;Female;193458; 0
2019-01-03;2019;30-34;Male;177846; 0
2019-01-03;2019;30-34;Female;170428; 0
2019-01-03;2019;35-39;Male;168058; 0
2019-01-03;2019;35-39;Female;164829; 1
2019-01-03;2019;40-44;Male;186713; 1
2019-01-03;2019;40-44;Female;185852; 0
2019-01-03;2019;45-49;Male;195838; 4
2019-01-03;2019;45-49;Female;194245; 0
2019-01-03;2019;50-54;Male;212293; 1
2019-01-03;2019;50-54;Female;208488; 2
2019-01-03;2019;55-59;Male;188671; 3
2019-01-03;2019;55-59;Female;188323; 2
2019-01-03;2019;60-64;Male;169672; 3
2019-01-03;2019;60-64;Female;172998; 4
2019-01-03;2019;65-69;Male;156271; 9
2019-01-03;2019;65-69;Female;163988; 6
2019-01-03;2019;70-74;Male;158527; 8
2019-01-03;2019;70-74;Female;169738;11
2019-01-03;2019;75-79;Male;103902;12
2019-01-03;2019;75-79;Female;119891; 3
2019-01-03;2019;80-84;Male; 61706;10
2019-01-03;2019;80-84;Female; 80382;18
2019-01-03;2019;85-89;Male; 29482; 7
2019-01-03;2019;85-89;Female; 47433;13
2019-01-03;2019;90-94;Male; 10558;11
2019-01-03;2019;90-94;Female; 24103; 8
2019-01-03;2019;95-99;Male;  1911; 4
2019-01-03;2019;95-99;Female;  7068; 6
2019-01-03;2019;100+;Male;   163; 1
2019-01-03;2019;100+;Female;   940; 2
2019-01-04;2019;0-4;Male;156694; 0
2019-01-04;2019;0-4;Female;148269; 0
2019-01-04;2019;5-9;Male;160513; 0
2019-01-04;2019;5-9;Female;152740; 0
2019-01-04;2019;10-14;Male;173903; 0
2019-01-04;2019;10-14;Female;165351; 0
2019-01-04;2019;15-19;Male;176274; 0
2019-01-04;2019;15-19;Female;168141; 0
2019-01-04;2019;20-24;Male;198647; 0
2019-01-04;2019;20-24;Female;190343; 0
2019-01-04;2019;25-29;Male;201431; 0
2019-01-04;2019;25-29;Female;193458; 0
2019-01-04;2019;30-34;Male;177846; 0
2019-01-04;2019;30-34;Female;170428; 0
2019-01-04;2019;35-39;Male;168058; 0
2019-01-04;2019;35-39;Female;164829; 1
2019-01-04;2019;40-44;Male;186713; 0
2019-01-04;2019;40-44;Female;185852; 0
2019-01-04;2019;45-49;Male;195838; 1
2019-01-04;2019;45-49;Female;194245; 0
2019-01-04;2019;50-54;Male;212293; 2
2019-01-04;2019;50-54;Female;208488; 2
2019-01-04;2019;55-59;Male;188671; 5
2019-01-04;2019;55-59;Female;188323; 2
2019-01-04;2019;60-64;Male;169672; 5
2019-01-04;2019;60-64;Female;172998; 4
2019-01-04;2019;65-69;Male;156271; 7
2019-01-04;2019;65-69;Female;163988; 4
2019-01-04;2019;70-74;Male;158527;12
2019-01-04;2019;70-74;Female;169738;10
2019-01-04;2019;75-79;Male;103902; 8
2019-01-04;2019;75-79;Female;119891; 6
2019-01-04;2019;80-84;Male; 61706; 8
2019-01-04;2019;80-84;Female; 80382;19
2019-01-04;2019;85-89;Male; 29482;11
2019-01-04;2019;85-89;Female; 47433;11
2019-01-04;2019;90-94;Male; 10558; 8
2019-01-04;2019;90-94;Female; 24103;17
2019-01-04;2019;95-99;Male;  1911; 1
2019-01-04;2019;95-99;Female;  7068; 9
2019-01-04;2019;100+;Male;   163; 0
2019-01-04;2019;100+;Female;   940; 1
2019-01-05;2019;0-4;Male;156694; 0
2019-01-05;2019;0-4;Female;148269; 0
2019-01-05;2019;5-9;Male;160513; 0
2019-01-05;2019;5-9;Female;152740; 0
2019-01-05;2019;10-14;Male;173903; 0
2019-01-05;2019;10-14;Female;165351; 0
2019-01-05;2019;15-19;Male;176274; 0
2019-01-05;2019;15-19;Female;168141; 0
2019-01-05;2019;20-24;Male;198647; 2
2019-01-05;2019;20-24;Female;190343; 0
2019-01-05;2019;25-29;Male;201431; 0
2019-01-05;2019;25-29;Female;193458; 0
2019-01-05;2019;30-34;Male;177846; 0
2019-01-05;2019;30-34;Female;170428; 0
2019-01-05;2019;35-39;Male;168058; 0
2019-01-05;2019;35-39;Female;164829; 0
2019-01-05;2019;40-44;Male;186713; 1
2019-01-05;2019;40-44;Female;185852; 0
2019-01-05;2019;45-49;Male;195838; 2
2019-01-05;2019;45-49;Female;194245; 1
2019-01-05;2019;50-54;Male;212293; 3
2019-01-05;2019;50-54;Female;208488; 0
2019-01-05;2019;55-59;Male;188671; 1
2019-01-05;2019;55-59;Female;188323; 3
2019-01-05;2019;60-64;Male;169672; 7
2019-01-05;2019;60-64;Female;172998; 4
2019-01-05;2019;65-69;Male;156271;11
2019-01-05;2019;65-69;Female;163988; 4
2019-01-05;2019;70-74;Male;158527; 9
2019-01-05;2019;70-74;Female;169738;12
2019-01-05;2019;75-79;Male;103902;15
2019-01-05;2019;75-79;Female;119891;12
2019-01-05;2019;80-84;Male; 61706;12
2019-01-05;2019;80-84;Female; 80382;21
2019-01-05;2019;85-89;Male; 29482;11
2019-01-05;2019;85-89;Female; 47433;15
2019-01-05;2019;90-94;Male; 10558; 4
2019-01-05;2019;90-94;Female; 24103;17
2019-01-05;2019;95-99;Male;  1911; 3
2019-01-05;2019;95-99;Female;  7068; 8
2019-01-05;2019;100+;Male;   163; 0
2019-01-05;2019;100+;Female;   940; 4
2019-01-06;2019;0-4;Male;156694; 1
2019-01-06;2019;0-4;Female;148269; 0
2019-01-06;2019;5-9;Male;160513; 0
2019-01-06;2019;5-9;Female;152740; 0
2019-01-06;2019;10-14;Male;173903; 0
2019-01-06;2019;10-14;Female;165351; 0
2019-01-06;2019;15-19;Male;176274; 1
2019-01-06;2019;15-19;Female;168141; 0
2019-01-06;2019;20-24;Male;198647; 0
2019-01-06;2019;20-24;Female;190343; 0
2019-01-06;2019;25-29;Male;201431; 0
2019-01-06;2019;25-29;Female;193458; 0
2019-01-06;2019;30-34;Male;177846; 1
2019-01-06;2019;30-34;Female;170428; 0
2019-01-06;2019;35-39;Male;168058; 0
2019-01-06;2019;35-39;Female;164829; 1
2019-01-06;2019;40-44;Male;186713; 0
2019-01-06;2019;40-44;Female;185852; 0
2019-01-06;2019;45-49;Male;195838; 2
2019-01-06;2019;45-49;Female;194245; 2
2019-01-06;2019;50-54;Male;212293; 1
2019-01-06;2019;50-54;Female;208488; 1
2019-01-06;2019;55-59;Male;188671; 7
2019-01-06;2019;55-59;Female;188323; 0
2019-01-06;2019;60-64;Male;169672; 2
2019-01-06;2019;60-64;Female;172998; 4
2019-01-06;2019;65-69;Male;156271; 9
2019-01-06;2019;65-69;Female;163988; 6
2019-01-06;2019;70-74;Male;158527;12
2019-01-06;2019;70-74;Female;169738;12
2019-01-06;2019;75-79;Male;103902; 7
2019-01-06;2019;75-79;Female;119891; 9
2019-01-06;2019;80-84;Male; 61706; 9
2019-01-06;2019;80-84;Female; 80382;15
2019-01-06;2019;85-89;Male; 29482;14
2019-01-06;2019;85-89;Female; 47433;12
2019-01-06;2019;90-94;Male; 10558; 9
2019-01-06;2019;90-94;Female; 24103;15
2019-01-06;2019;95-99;Male;  1911; 1
2019-01-06;2019;95-99;Female;  7068; 3
2019-01-06;2019;100+;Male;   163; 1
2019-01-06;2019;100+;Female;   940; 4
2019-01-07;2019;0-4;Male;156694; 0
2019-01-07;2019;0-4;Female;148269; 0
2019-01-07;2019;5-9;Male;160513; 0
2019-01-07;2019;5-9;Female;152740; 0
2019-01-07;2019;10-14;Male;173903; 0
2019-01-07;2019;10-14;Female;165351; 0
2019-01-07;2019;15-19;Male;176274; 0
2019-01-07;2019;15-19;Female;168141; 0
2019-01-07;2019;20-24;Male;198647; 0
2019-01-07;2019;20-24;Female;190343; 0
2019-01-07;2019;25-29;Male;201431; 0
2019-01-07;2019;25-29;Female;193458; 0
2019-01-07;2019;30-34;Male;177846; 0
2019-01-07;2019;30-34;Female;170428; 0
2019-01-07;2019;35-39;Male;168058; 0
2019-01-07;2019;35-39;Female;164829; 0
2019-01-07;2019;40-44;Male;186713; 1
2019-01-07;2019;40-44;Female;185852; 0
2019-01-07;2019;45-49;Male;195838; 2
2019-01-07;2019;45-49;Female;194245; 0
2019-01-07;2019;50-54;Male;212293; 2
2019-01-07;2019;50-54;Female;208488; 2
2019-01-07;2019;55-59;Male;188671; 5
2019-01-07;2019;55-59;Female;188323; 0
2019-01-07;2019;60-64;Male;169672; 6
2019-01-07;2019;60-64;Female;172998; 5
2019-01-07;2019;65-69;Male;156271; 8
2019-01-07;2019;65-69;Female;163988; 4
2019-01-07;2019;70-74;Male;158527;14
2019-01-07;2019;70-74;Female;169738;11
2019-01-07;2019;75-79;Male;103902;14
2019-01-07;2019;75-79;Female;119891;11
2019-01-07;2019;80-84;Male; 61706;16
2019-01-07;2019;80-84;Female; 80382; 8
2019-01-07;2019;85-89;Male; 29482;15
2019-01-07;2019;85-89;Female; 47433;15
2019-01-07;2019;90-94;Male; 10558;10
2019-01-07;2019;90-94;Female; 24103; 9
2019-01-07;2019;95-99;Male;  1911; 4
2019-01-07;2019;95-99;Female;  7068; 8
2019-01-07;2019;100+;Male;   163; 1
2019-01-07;2019;100+;Female;   940; 1
2019-01-08;2019;0-4;Male;156694; 0
2019-01-08;2019;0-4;Female;148269; 0
2019-01-08;2019;5-9;Male;160513; 0
2019-01-08;2019;5-9;Female;152740; 0
2019-01-08;2019;10-14;Male;173903; 0
2019-01-08;2019;10-14;Female;165351; 0
2019-01-08;2019;15-19;Male;176274; 0
2019-01-08;2019;15-19;Female;168141; 0
2019-01-08;2019;20-24;Male;198647; 0
2019-01-08;2019;20-24;Female;190343; 0
2019-01-08;2019;25-29;Male;201431; 0
2019-01-08;2019;25-29;Female;193458; 0
2019-01-08;2019;30-34;Male;177846; 2
2019-01-08;2019;30-34;Female;170428; 0
2019-01-08;2019;35-39;Male;168058; 1
2019-01-08;2019;35-39;Female;164829; 0
2019-01-08;2019;40-44;Male;186713; 1
2019-01-08;2019;40-44;Female;185852; 0
2019-01-08;2019;45-49;Male;195838; 0
2019-01-08;2019;45-49;Female;194245; 1
2019-01-08;2019;50-54;Male;212293; 3
2019-01-08;2019;50-54;Female;208488; 2
2019-01-08;2019;55-59;Male;188671; 9
2019-01-08;2019;55-59;Female;188323; 5
2019-01-08;2019;60-64;Male;169672; 8
2019-01-08;2019;60-64;Female;172998; 4
2019-01-08;2019;65-69;Male;156271; 6
2019-01-08;2019;65-69;Female;163988; 5
2019-01-08;2019;70-74;Male;158527;14
2019-01-08;2019;70-74;Female;169738;11
2019-01-08;2019;75-79;Male;103902;11
2019-01-08;2019;75-79;Female;119891; 7
2019-01-08;2019;80-84;Male; 61706;12
2019-01-08;2019;80-84;Female; 80382;11
2019-01-08;2019;85-89;Male; 29482;13
2019-01-08;2019;85-89;Female; 47433;18
2019-01-08;2019;90-94;Male; 10558; 7
2019-01-08;2019;90-94;Female; 24103;14
2019-01-08;2019;95-99;Male;  1911; 4
2019-01-08;2019;95-99;Female;  7068; 9
2019-01-08;2019;100+;Male;   163; 0
2019-01-08;2019;100+;Female;   940; 2
2019-01-09;2019;0-4;Male;156694; 0
2019-01-09;2019;0-4;Female;148269; 0
2019-01-09;2019;5-9;Male;160513; 0
2019-01-09;2019;5-9;Female;152740; 0
2019-01-09;2019;10-14;Male;173903; 0
2019-01-09;2019;10-14;Female;165351; 0
2019-01-09;2019;15-19;Male;176274; 0
2019-01-09;2019;15-19;Female;168141; 0
2019-01-09;2019;20-24;Male;198647; 0
2019-01-09;2019;20-24;Female;190343; 0
2019-01-09;2019;25-29;Male;201431; 0
2019-01-09;2019;25-29;Female;193458; 0
2019-01-09;2019;30-34;Male;177846; 0
2019-01-09;2019;30-34;Female;170428; 1
2019-01-09;2019;35-39;Male;168058; 0
2019-01-09;2019;35-39;Female;164829; 0
2019-01-09;2019;40-44;Male;186713; 2
2019-01-09;2019;40-44;Female;185852; 0
2019-01-09;2019;45-49;Male;195838; 2
2019-01-09;2019;45-49;Female;194245; 1
2019-01-09;2019;50-54;Male;212293; 2
2019-01-09;2019;50-54;Female;208488; 1
2019-01-09;2019;55-59;Male;188671; 3
2019-01-09;2019;55-59;Female;188323; 2
2019-01-09;2019;60-64;Male;169672; 3
2019-01-09;2019;60-64;Female;172998; 3
2019-01-09;2019;65-69;Male;156271; 9
2019-01-09;2019;65-69;Female;163988; 3
2019-01-09;2019;70-74;Male;158527;14
2019-01-09;2019;70-74;Female;169738; 5
2019-01-09;2019;75-79;Male;103902;13
2019-01-09;2019;75-79;Female;119891; 7
2019-01-09;2019;80-84;Male; 61706;13
2019-01-09;2019;80-84;Female; 80382;19
2019-01-09;2019;85-89;Male; 29482;10
2019-01-09;2019;85-89;Female; 47433;25
2019-01-09;2019;90-94;Male; 10558;10
2019-01-09;2019;90-94;Female; 24103;20
2019-01-09;2019;95-99;Male;  1911; 2
2019-01-09;2019;95-99;Female;  7068; 4
2019-01-09;2019;100+;Male;   163; 0
2019-01-09;2019;100+;Female;   940; 1
2019-01-10;2019;0-4;Male;156694; 0
2019-01-10;2019;0-4;Female;148269; 1
2019-01-10;2019;5-9;Male;160513; 0
2019-01-10;2019;5-9;Female;152740; 0
2019-01-10;2019;10-14;Male;173903; 0
2019-01-10;2019;10-14;Female;165351; 0
2019-01-10;2019;15-19;Male;176274; 0
2019-01-10;2019;15-19;Female;168141; 0
2019-01-10;2019;20-24;Male;198647; 0
2019-01-10;2019;20-24;Female;190343; 0
2019-01-10;2019;25-29;Male;201431; 0
2019-01-10;2019;25-29;Female;193458; 0
2019-01-10;2019;30-34;Male;177846; 0
2019-01-10;2019;30-34;Female;170428; 0
2019-01-10;2019;35-39;Male;168058; 0
2019-01-10;2019;35-39;Female;164829; 0
2019-01-10;2019;40-44;Male;186713; 0
2019-01-10;2019;40-44;Female;185852; 1
2019-01-10;2019;45-49;Male;195838; 2
2019-01-10;2019;45-49;Female;194245; 0
2019-01-10;2019;50-54;Male;212293; 4
2019-01-10;2019;50-54;Female;208488; 0
2019-01-10;2019;55-59;Male;188671; 4
2019-01-10;2019;55-59;Female;188323; 2
2019-01-10;2019;60-64;Male;169672; 3
2019-01-10;2019;60-64;Female;172998; 2
2019-01-10;2019;65-69;Male;156271; 6
2019-01-10;2019;65-69;Female;163988; 7
2019-01-10;2019;70-74;Male;158527; 9
2019-01-10;2019;70-74;Female;169738;11
2019-01-10;2019;75-79;Male;103902;18
2019-01-10;2019;75-79;Female;119891; 8
2019-01-10;2019;80-84;Male; 61706;12
2019-01-10;2019;80-84;Female; 80382;14
2019-01-10;2019;85-89;Male; 29482;11
2019-01-10;2019;85-89;Female; 47433;14
2019-01-10;2019;90-94;Male; 10558; 7
2019-01-10;2019;90-94;Female; 24103;12
2019-01-10;2019;95-99;Male;  1911; 0
2019-01-10;2019;95-99;Female;  7068; 8
2019-01-10;2019;100+;Male;   163; 0
2019-01-10;2019;100+;Female;   940; 0
2019-01-11;2019;0-4;Male;156694; 0
2019-01-11;2019;0-4;Female;148269; 1
2019-01-11;2019;5-9;Male;160513; 0
2019-01-11;2019;5-9;Female;152740; 0
2019-01-11;2019;10-14;Male;173903; 1
2019-01-11;2019;10-14;Female;165351; 0
2019-01-11;2019;15-19;Male;176274; 0
2019-01-11;2019;15-19;Female;168141; 0
2019-01-11;2019;20-24;Male;198647; 0
2019-01-11;2019;20-24;Female;190343; 1
2019-01-11;2019;25-29;Male;201431; 0
2019-01-11;2019;25-29;Female;193458; 2
2019-01-11;2019;30-34;Male;177846; 0
2019-01-11;2019;30-34;Female;170428; 0
2019-01-11;2019;35-39;Male;168058; 0
2019-01-11;2019;35-39;Female;164829; 0
2019-01-11;2019;40-44;Male;186713; 3
2019-01-11;2019;40-44;Female;185852; 1
2019-01-11;2019;45-49;Male;195838; 1
2019-01-11;2019;45-49;Female;194245; 1
2019-01-11;2019;50-54;Male;212293; 2
2019-01-11;2019;50-54;Female;208488; 2
2019-01-11;2019;55-59;Male;188671; 2
2019-01-11;2019;55-59;Female;188323; 3
2019-01-11;2019;60-64;Male;169672; 3
2019-01-11;2019;60-64;Female;172998; 2
2019-01-11;2019;65-69;Male;156271; 5
2019-01-11;2019;65-69;Female;163988; 4
2019-01-11;2019;70-74;Male;158527;14
2019-01-11;2019;70-74;Female;169738; 6
2019-01-11;2019;75-79;Male;103902;20
2019-01-11;2019;75-79;Female;119891;10
2019-01-11;2019;80-84;Male; 61706;14
2019-01-11;2019;80-84;Female; 80382; 6
2019-01-11;2019;85-89;Male; 29482; 9
2019-01-11;2019;85-89;Female; 47433;12
2019-01-11;2019;90-94;Male; 10558; 9
2019-01-11;2019;90-94;Female; 24103;14
2019-01-11;2019;95-99;Male;  1911; 4
2019-01-11;2019;95-99;Female;  7068; 4
2019-01-11;2019;100+;Male;   163; 1
2019-01-11;2019;100+;Female;   940; 3
2019-01-12;2019;0-4;Male;156694; 0
2019-01-12;2019;0-4;Female;148269; 0
2019-01-12;2019;5-9;Male;160513; 0
2019-01-12;2019;5-9;Female;152740; 0
2019-01-12;2019;10-14;Male;173903; 0
2019-01-12;2019;10-14;Female;165351; 0
2019-01-12;2019;15-19;Male;176274; 0
2019-01-12;2019;15-19;Female;168141; 0
2019-01-12;2019;20-24;Male;198647; 0
2019-01-12;2019;20-24;Female;190343; 0
2019-01-12;2019;25-29;Male;201431; 2
2019-01-12;2019;25-29;Female;193458; 0
2019-01-12;2019;30-34;Male;177846; 0
2019-01-12;2019;30-34;Female;170428; 0
2019-01-12;2019;35-39;Male;168058; 0
2019-01-12;2019;35-39;Female;164829; 0
2019-01-12;2019;40-44;Male;186713; 0
2019-01-12;2019;40-44;Female;185852; 0
2019-01-12;2019;45-49;Male;195838; 3
2019-01-12;2019;45-49;Female;194245; 0
2019-01-12;2019;50-54;Male;212293; 2
2019-01-12;2019;50-54;Female;208488; 2
2019-01-12;2019;55-59;Male;188671; 1
2019-01-12;2019;55-59;Female;188323; 1
2019-01-12;2019;60-64;Male;169672;10
2019-01-12;2019;60-64;Female;172998; 5
2019-01-12;2019;65-69;Male;156271;10
2019-01-12;2019;65-69;Female;163988; 4
2019-01-12;2019;70-74;Male;158527;14
2019-01-12;2019;70-74;Female;169738; 7
2019-01-12;2019;75-79;Male;103902; 8
2019-01-12;2019;75-79;Female;119891;12
2019-01-12;2019;80-84;Male; 61706;13
2019-01-12;2019;80-84;Female; 80382; 7
2019-01-12;2019;85-89;Male; 29482;11
2019-01-12;2019;85-89;Female; 47433;16
2019-01-12;2019;90-94;Male; 10558; 3
2019-01-12;2019;90-94;Female; 24103;14
2019-01-12;2019;95-99;Male;  1911; 2
2019-01-12;2019;95-99;Female;  7068; 8
2019-01-12;2019;100+;Male;   163; 1
2019-01-12;2019;100+;Female;   940; 0
2019-01-13;2019;0-4;Male;156694; 0
2019-01-13;2019;0-4;Female;148269; 0
2019-01-13;2019;5-9;Male;160513; 0
2019-01-13;2019;5-9;Female;152740; 0
2019-01-13;2019;10-14;Male;173903; 0
2019-01-13;2019;10-14;Female;165351; 0
2019-01-13;2019;15-19;Male;176274; 1
2019-01-13;2019;15-19;Female;168141; 0
2019-01-13;2019;20-24;Male;198647; 0
2019-01-13;2019;20-24;Female;190343; 0
2019-01-13;2019;25-29;Male;201431; 0
2019-01-13;2019;25-29;Female;193458; 0
2019-01-13;2019;30-34;Male;177846; 0
2019-01-13;2019;30-34;Female;170428; 0
2019-01-13;2019;35-39;Male;168058; 0
2019-01-13;2019;35-39;Female;164829; 0
2019-01-13;2019;40-44;Male;186713; 2
2019-01-13;2019;40-44;Female;185852; 0
2019-01-13;2019;45-49;Male;195838; 2
2019-01-13;2019;45-49;Female;194245; 0
2019-01-13;2019;50-54;Male;212293; 4
2019-01-13;2019;50-54;Female;208488; 0
2019-01-13;2019;55-59;Male;188671; 3
2019-01-13;2019;55-59;Female;188323; 3
2019-01-13;2019;60-64;Male;169672; 5
2019-01-13;2019;60-64;Female;172998; 4
2019-01-13;2019;65-69;Male;156271; 7
2019-01-13;2019;65-69;Female;163988; 5
2019-01-13;2019;70-74;Male;158527;12
2019-01-13;2019;70-74;Female;169738; 9
2019-01-13;2019;75-79;Male;103902; 8
2019-01-13;2019;75-79;Female;119891;12
2019-01-13;2019;80-84;Male; 61706;17
2019-01-13;2019;80-84;Female; 80382; 9
2019-01-13;2019;85-89;Male; 29482; 9
2019-01-13;2019;85-89;Female; 47433;15
2019-01-13;2019;90-94;Male; 10558; 8
2019-01-13;2019;90-94;Female; 24103;10
2019-01-13;2019;95-99;Male;  1911; 1
2019-01-13;2019;95-99;Female;  7068; 8
2019-01-13;2019;100+;Male;   163; 0
2019-01-13;2019;100+;Female;   940; 2
2019-01-14;2019;0-4;Male;156694; 1
2019-01-14;2019;0-4;Female;148269; 0
2019-01-14;2019;5-9;Male;160513; 0
2019-01-14;2019;5-9;Female;152740; 0
2019-01-14;2019;10-14;Male;173903; 0
2019-01-14;2019;10-14;Female;165351; 0
2019-01-14;2019;15-19;Male;176274; 1
2019-01-14;2019;15-19;Female;168141; 0
2019-01-14;2019;20-24;Male;198647; 0
2019-01-14;2019;20-24;Female;190343; 0
2019-01-14;2019;25-29;Male;201431; 0
2019-01-14;2019;25-29;Female;193458; 0
2019-01-14;2019;30-34;Male;177846; 0
2019-01-14;2019;30-34;Female;170428; 0
2019-01-14;2019;35-39;Male;168058; 0
2019-01-14;2019;35-39;Female;164829; 0
2019-01-14;2019;40-44;Male;186713; 0
2019-01-14;2019;40-44;Female;185852; 1
2019-01-14;2019;45-49;Male;195838; 1
2019-01-14;2019;45-49;Female;194245; 1
2019-01-14;2019;50-54;Male;212293; 1
2019-01-14;2019;50-54;Female;208488; 2
2019-01-14;2019;55-59;Male;188671; 3
2019-01-14;2019;55-59;Female;188323; 3
2019-01-14;2019;60-64;Male;169672; 8
2019-01-14;2019;60-64;Female;172998; 2
2019-01-14;2019;65-69;Male;156271; 7
2019-01-14;2019;65-69;Female;163988; 4
2019-01-14;2019;70-74;Male;158527;16
2019-01-14;2019;70-74;Female;169738; 6
2019-01-14;2019;75-79;Male;103902;17
2019-01-14;2019;75-79;Female;119891;11
2019-01-14;2019;80-84;Male; 61706;18
2019-01-14;2019;80-84;Female; 80382; 4
2019-01-14;2019;85-89;Male; 29482;14
2019-01-14;2019;85-89;Female; 47433; 6
2019-01-14;2019;90-94;Male; 10558;13
2019-01-14;2019;90-94;Female; 24103;15
2019-01-14;2019;95-99;Male;  1911; 4
2019-01-14;2019;95-99;Female;  7068; 8
2019-01-14;2019;100+;Male;   163; 0
2019-01-14;2019;100+;Female;   940; 2
2019-01-15;2019;0-4;Male;156694; 0
2019-01-15;2019;0-4;Female;148269; 0
2019-01-15;2019;5-9;Male;160513; 0
2019-01-15;2019;5-9;Female;152740; 0
2019-01-15;2019;10-14;Male;173903; 0
2019-01-15;2019;10-14;Female;165351; 0
2019-01-15;2019;15-19;Male;176274; 0
2019-01-15;2019;15-19;Female;168141; 0
2019-01-15;2019;20-24;Male;198647; 1
2019-01-15;2019;20-24;Female;190343; 0
2019-01-15;2019;25-29;Male;201431; 0
2019-01-15;2019;25-29;Female;193458; 0
2019-01-15;2019;30-34;Male;177846; 1
2019-01-15;2019;30-34;Female;170428; 0
2019-01-15;2019;35-39;Male;168058; 0
2019-01-15;2019;35-39;Female;164829; 0
2019-01-15;2019;40-44;Male;186713; 0
2019-01-15;2019;40-44;Female;185852; 0
2019-01-15;2019;45-49;Male;195838; 2
2019-01-15;2019;45-49;Female;194245; 1
