"Faerdigvacc. dato";"kommunenavn";"Antal faerdigvacc.";"c_kom_num"
2020-12-29;Aalborg;1;851
2021-01-04;Vejle;1;630
2021-01-05;Frederiksberg;1;147
2021-01-07;Gentofte;1;157
2021-01-07;Vejle;1;630
2021-01-08;Gentofte;1;157
2021-01-09;Frederiksberg;1;147
2021-01-09;Gentofte;1;157
2021-01-11;København;1;101
2021-01-12;Odense;1;461
2021-01-12;Odder;1;727
2021-01-13;København;2;101
2021-01-13;Århus;3;751
2021-01-14;Gladsaxe;1;159
2021-01-15;København;1;101
2021-01-15;Frederiksberg;2;147
2021-01-15;Ballerup;1;151
2021-01-15;Gladsaxe;1;159
2021-01-16;København;1;101
2021-01-16;Greve;1;253
2021-01-16;Bornholm;1;400
2021-01-16;Skanderborg;1;746
2021-01-16;Århus;6;751
2021-01-17;København;20;101
2021-01-17;Frederiksberg;5;147
2021-01-17;Gentofte;2;157
2021-01-17;Gladsaxe;1;159
2021-01-17;Albertslund;1;165
2021-01-17;Hvidovre;3;167
2021-01-17;Høje Tåstrup;2;169
2021-01-17;Lyngby-Taarbæk;1;173
2021-01-17;Rødovre;1;175
2021-01-17;Allerød;2;201
2021-01-17;Rudersdal;1;230
2021-01-17;Egedal;3;240
2021-01-17;Greve;5;253
2021-01-17;Køge;31;259
2021-01-17;Roskilde;15;265
2021-01-17;Solrød;7;269
2021-01-17;Odsherred;2;306
2021-01-17;Holbæk;34;316
2021-01-17;Faxe;7;320
2021-01-17;Kalundborg;9;326
2021-01-17;Ringsted;8;329
2021-01-17;Slagelse;25;330
2021-01-17;Stevns;12;336
2021-01-17;Sorø;3;340
2021-01-17;Lejre;2;350
2021-01-17;Næstved;13;370
2021-01-17;Guldborgsund;19;376
2021-01-17;Vordingborg;6;390
2021-01-17;Middelfart;2;410
2021-01-17;Assens;6;420
2021-01-17;Faaborg-Midtfyn;9;430
2021-01-17;Kerteminde;3;440
2021-01-17;Nyborg;5;450
2021-01-17;Odense;354;461
2021-01-17;Svendborg;1;479
2021-01-17;Nordfyn;3;480
2021-01-17;Århus;2;751
2021-01-17;Aalborg;1;851
2021-01-18;København;49;101
2021-01-18;Frederiksberg;15;147
2021-01-18;Ballerup;3;151
2021-01-18;Brøndby;5;153
2021-01-18;Gentofte;8;157
2021-01-18;Gladsaxe;3;159
2021-01-18;Glostrup;2;161
2021-01-18;Herlev;2;163
2021-01-18;Albertslund;5;165
2021-01-18;Hvidovre;4;167
2021-01-18;Høje Tåstrup;5;169
2021-01-18;Lyngby-Taarbæk;4;173
2021-01-18;Rødovre;2;175
2021-01-18;Ishøj;3;183
2021-01-18;Tårnby;3;185
2021-01-18;Vallensbæk;1;187
2021-01-18;Furesø;5;190
2021-01-18;Allerød;1;201
2021-01-18;Hillerød;2;219
2021-01-18;Hørsholm;1;223
2021-01-18;Rudersdal;5;230
2021-01-18;Egedal;5;240
2021-01-18;Frederikssund;2;250
2021-01-18;Greve;175;253
2021-01-18;Køge;43;259
2021-01-18;Roskilde;47;265
2021-01-18;Solrød;99;269
2021-01-18;Odsherred;12;306
2021-01-18;Holbæk;69;316
2021-01-18;Faxe;15;320
2021-01-18;Kalundborg;29;326
2021-01-18;Ringsted;16;329
2021-01-18;Slagelse;478;330
2021-01-18;Stevns;7;336
2021-01-18;Sorø;31;340
2021-01-18;Lejre;10;350
2021-01-18;Lolland;13;360
2021-01-18;Næstved;37;370
2021-01-18;Guldborgsund;66;376
2021-01-18;Vordingborg;13;390
2021-01-18;Bornholm;1;400
