"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2020-12-01;1083;Syddanmark;1;1083
2020-12-08;1081;Nordjylland;1;1081
2020-12-16;1084;Hovedstaden;1;1084
2020-12-17;1084;Hovedstaden;1;1084
2020-12-18;1084;Hovedstaden;1;1084
2020-12-19;1084;Hovedstaden;1;1084
2020-12-21;1082;Midtjylland;1;1082
2020-12-21;1084;Hovedstaden;2;1084
2020-12-22;1082;Midtjylland;2;1082
2020-12-22;1083;Syddanmark;2;1083
2020-12-23;1082;Midtjylland;2;1082
2020-12-23;1084;Hovedstaden;2;1084
2020-12-24;1084;Hovedstaden;3;1084
2020-12-24;1085;Sjælland;1;1085
2020-12-26;1084;Hovedstaden;3;1084
2020-12-26;1085;Sjælland;2;1085
2020-12-27;1081;Nordjylland;962;1081
2020-12-27;1082;Midtjylland;1740;1082
2020-12-27;1083;Syddanmark;425;1083
2020-12-27;1084;Hovedstaden;1575;1084
2020-12-27;1085;Sjælland;1201;1085
2020-12-28;1081;Nordjylland;105;1081
2020-12-28;1082;Midtjylland;195;1082
2020-12-28;1083;Syddanmark;606;1083
2020-12-28;1084;Hovedstaden;480;1084
2020-12-28;1085;Sjælland;550;1085
2020-12-29;1081;Nordjylland;293;1081
2020-12-29;1082;Midtjylland;1020;1082
2020-12-29;1083;Syddanmark;1768;1083
2020-12-29;1084;Hovedstaden;3423;1084
2020-12-29;1085;Sjælland;1838;1085
2020-12-30;1081;Nordjylland;2081;1081
2020-12-30;1082;Midtjylland;1170;1082
2020-12-30;1083;Syddanmark;2278;1083
2020-12-30;1084;Hovedstaden;3375;1084
2020-12-30;1085;Sjælland;1755;1085
2020-12-31;1081;Nordjylland;608;1081
2020-12-31;1082;Midtjylland;1024;1082
2020-12-31;1083;Syddanmark;1224;1083
2020-12-31;1084;Hovedstaden;1552;1084
2020-12-31;1085;Sjælland;1193;1085
2021-01-01;1081;Nordjylland;8;1081
2021-01-01;1082;Midtjylland;125;1082
2021-01-01;1083;Syddanmark;601;1083
2021-01-01;1084;Hovedstaden;1111;1084
2021-01-01;1085;Sjælland;282;1085
2021-01-02;1081;Nordjylland;1570;1081
2021-01-02;1082;Midtjylland;2180;1082
2021-01-02;1083;Syddanmark;1757;1083
2021-01-02;1084;Hovedstaden;2078;1084
2021-01-02;1085;Sjælland;400;1085
2021-01-03;1081;Nordjylland;14;1081
2021-01-03;1082;Midtjylland;2633;1082
2021-01-03;1083;Syddanmark;723;1083
2021-01-03;1084;Hovedstaden;1822;1084
2021-01-03;1085;Sjælland;102;1085
2021-01-04;1081;Nordjylland;966;1081
2021-01-04;1082;Midtjylland;66;1082
2021-01-04;1083;Syddanmark;938;1083
2021-01-04;1084;Hovedstaden;352;1084
2021-01-04;1085;Sjælland;23;1085
2021-01-05;1081;Nordjylland;1992;1081
2021-01-05;1082;Midtjylland;2633;1082
2021-01-05;1083;Syddanmark;1117;1083
2021-01-05;1084;Hovedstaden;6187;1084
2021-01-05;1085;Sjælland;533;1085
2021-01-06;1081;Nordjylland;2539;1081
2021-01-06;1082;Midtjylland;3957;1082
2021-01-06;1083;Syddanmark;3368;1083
2021-01-06;1084;Hovedstaden;6323;1084
2021-01-06;1085;Sjælland;1838;1085
2021-01-07;1081;Nordjylland;1084;1081
2021-01-07;1082;Midtjylland;3997;1082
2021-01-07;1083;Syddanmark;4011;1083
2021-01-07;1084;Hovedstaden;5211;1084
2021-01-07;1085;Sjælland;1670;1085
2021-01-08;1081;Nordjylland;230;1081
2021-01-08;1082;Midtjylland;2529;1082
2021-01-08;1083;Syddanmark;3022;1083
2021-01-08;1084;Hovedstaden;758;1084
2021-01-08;1085;Sjælland;1210;1085
2021-01-09;1081;Nordjylland;36;1081
2021-01-09;1082;Midtjylland;694;1082
2021-01-09;1083;Syddanmark;36;1083
2021-01-09;1084;Hovedstaden;124;1084
2021-01-09;1085;Sjælland;955;1085
2021-01-10;1081;Nordjylland;2;1081
2021-01-10;1082;Midtjylland;3;1082
2021-01-10;1083;Syddanmark;22;1083
