"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser"
Sjælland;2020-02-26;M;1;0;0;0;1;0
Hovedstaden;2020-02-27;M;1;0;0;0;2;0
Midtjylland;2020-02-28;M;1;0;0;0;3;0
Hovedstaden;2020-03-01;M;1;0;1;0;4;1
Hovedstaden;2020-03-02;M;2;0;1;0;6;2
Sjælland;2020-03-02;M;1;0;0;0;7;2
Syddanmark;2020-03-02;M;1;0;0;0;8;2
Hovedstaden;2020-03-03;F;1;0;0;0;9;2
Hovedstaden;2020-03-03;M;3;0;1;0;12;3
Hovedstaden;2020-03-04;M;2;0;0;0;14;3
Sjælland;2020-03-04;M;1;0;1;0;15;4
Hovedstaden;2020-03-05;F;4;1;1;1;19;5
Hovedstaden;2020-03-05;M;6;1;2;2;25;7
Nordjylland;2020-03-06;M;1;0;0;2;26;7
Sjælland;2020-03-06;M;1;0;1;2;27;8
Hovedstaden;2020-03-07;F;5;0;1;2;32;9
Hovedstaden;2020-03-07;M;3;0;1;2;35;10
Midtjylland;2020-03-07;M;1;0;0;2;36;10
Hovedstaden;2020-03-08;F;8;0;0;2;44;10
Midtjylland;2020-03-08;F;6;0;0;2;50;10
Sjælland;2020-03-08;F;2;0;1;2;52;11
Syddanmark;2020-03-08;F;1;0;0;2;53;11
Hovedstaden;2020-03-08;M;4;0;1;2;57;12
Midtjylland;2020-03-08;M;16;0;0;2;73;12
Nordjylland;2020-03-08;M;1;0;0;2;74;12
Sjælland;2020-03-08;M;2;0;0;2;76;12
Syddanmark;2020-03-08;M;8;0;0;2;84;12
Hovedstaden;2020-03-09;F;27;0;3;2;111;15
Midtjylland;2020-03-09;F;10;0;1;2;121;16
Nordjylland;2020-03-09;F;2;0;0;2;123;16
Sjælland;2020-03-09;F;7;0;4;2;130;20
Syddanmark;2020-03-09;F;15;0;1;2;145;21
Hovedstaden;2020-03-09;M;44;0;4;2;189;25
Midtjylland;2020-03-09;M;35;0;2;2;224;27
Nordjylland;2020-03-09;M;6;0;0;2;230;27
Sjælland;2020-03-09;M;30;0;4;2;260;31
Syddanmark;2020-03-09;M;34;0;1;2;294;32
Hovedstaden;2020-03-10;F;46;0;4;2;340;36
Midtjylland;2020-03-10;F;18;0;1;2;358;37
Nordjylland;2020-03-10;F;4;0;1;2;362;38
Sjælland;2020-03-10;F;6;0;2;2;368;40
Syddanmark;2020-03-10;F;8;0;1;2;376;41
Hovedstaden;2020-03-10;M;70;1;3;3;446;44
Midtjylland;2020-03-10;M;54;1;4;4;500;48
Nordjylland;2020-03-10;M;9;0;0;4;509;48
Sjælland;2020-03-10;M;21;0;4;4;530;52
Syddanmark;2020-03-10;M;19;0;1;4;549;53
Hovedstaden;2020-03-11;F;31;0;2;4;580;55
Midtjylland;2020-03-11;F;11;1;1;5;591;56
Nordjylland;2020-03-11;F;3;0;0;5;594;56
Sjælland;2020-03-11;F;12;0;1;5;606;57
Syddanmark;2020-03-11;F;16;0;1;5;622;58
Hovedstaden;2020-03-11;M;57;0;3;5;679;61
Midtjylland;2020-03-11;M;14;1;1;6;693;62
Nordjylland;2020-03-11;M;20;0;0;6;713;62
Sjælland;2020-03-11;M;15;0;5;6;728;67
Syddanmark;2020-03-11;M;27;0;1;6;755;68
Hovedstaden;2020-03-12;F;9;1;3;7;764;71
Midtjylland;2020-03-12;F;2;0;2;7;766;73
Nordjylland;2020-03-12;F;1;0;1;7;767;74
Sjælland;2020-03-12;F;1;1;1;8;768;75
Syddanmark;2020-03-12;F;5;0;2;8;773;77
Hovedstaden;2020-03-12;M;9;0;3;8;782;80
Midtjylland;2020-03-12;M;6;0;4;8;788;84
Nordjylland;2020-03-12;M;1;1;0;9;789;84
Sjælland;2020-03-12;M;5;0;3;9;794;87
Syddanmark;2020-03-12;M;3;0;0;9;797;87
Hovedstaden;2020-03-13;F;5;0;1;9;802;88
Midtjylland;2020-03-13;F;2;0;1;9;804;89
Sjælland;2020-03-13;F;1;0;1;9;805;90
Syddanmark;2020-03-13;F;1;1;1;10;806;91
Hovedstaden;2020-03-13;M;16;2;8;12;822;99
Midtjylland;2020-03-13;M;5;1;5;13;827;104
Nordjylland;2020-03-13;M;1;0;1;13;828;105
Sjælland;2020-03-13;M;2;0;1;13;830;106
Hovedstaden;2020-03-14;F;8;1;3;14;838;109
Midtjylland;2020-03-14;F;4;0;1;14;842;110
Nordjylland;2020-03-14;F;2;0;2;14;844;112
Sjælland;2020-03-14;F;3;0;3;14;847;115
Syddanmark;2020-03-14;F;2;0;1;14;849;116
Hovedstaden;2020-03-14;M;8;2;6;16;857;122
Midtjylland;2020-03-14;M;2;0;1;16;859;123
Nordjylland;2020-03-14;M;1;0;1;16;860;124
Sjælland;2020-03-14;M;4;1;1;17;864;125
Syddanmark;2020-03-14;M;3;0;2;17;867;127
Hovedstaden;2020-03-15;F;8;1;4;18;875;131
Midtjylland;2020-03-15;F;3;1;2;19;878;133
Nordjylland;2020-03-15;F;1;0;1;19;879;134
Sjælland;2020-03-15;F;6;0;2;19;885;136
Syddanmark;2020-03-15;F;1;0;1;19;886;137
Hovedstaden;2020-03-15;M;17;2;12;21;903;149
Midtjylland;2020-03-15;M;1;0;0;21;904;149
Nordjylland;2020-03-15;M;2;0;2;21;906;151
Sjælland;2020-03-15;M;4;2;3;23;910;154
Syddanmark;2020-03-15;M;2;0;2;23;912;156
Hovedstaden;2020-03-16;F;27;1;10;24;939;166
Midtjylland;2020-03-16;F;1;0;1;24;940;167
Sjælland;2020-03-16;F;9;1;7;25;949;174
Hovedstaden;2020-03-16;M;23;6;18;31;972;192
Midtjylland;2020-03-16;M;1;1;1;32;973;193
Nordjylland;2020-03-16;M;1;0;1;32;974;194
Sjælland;2020-03-16;M;6;1;5;33;980;199
Syddanmark;2020-03-16;M;6;2;6;35;986;205
Hovedstaden;2020-03-17;F;23;2;10;37;1009;215
Midtjylland;2020-03-17;F;1;0;1;37;1010;216
Nordjylland;2020-03-17;F;2;0;2;37;1012;218
Sjælland;2020-03-17;F;4;1;4;38;1016;222
Syddanmark;2020-03-17;F;3;0;3;38;1019;225
Hovedstaden;2020-03-17;M;25;7;18;45;1044;243
Midtjylland;2020-03-17;M;6;1;5;46;1050;248
Nordjylland;2020-03-17;M;2;1;2;47;1052;250
Sjælland;2020-03-17;M;6;2;6;49;1058;256
Syddanmark;2020-03-17;M;3;1;2;50;1061;258
Hovedstaden;2020-03-18;F;16;2;8;52;1077;266
Midtjylland;2020-03-18;F;8;0;4;52;1085;270
Nordjylland;2020-03-18;F;3;0;2;52;1088;272
Sjælland;2020-03-18;F;6;0;5;52;1094;277
Syddanmark;2020-03-18;F;1;0;1;52;1095;278
Hovedstaden;2020-03-18;M;32;7;16;59;1127;294
Midtjylland;2020-03-18;M;3;1;1;60;1130;295
Nordjylland;2020-03-18;M;3;1;2;61;1133;297
Sjælland;2020-03-18;M;8;3;8;64;1141;305
Syddanmark;2020-03-18;M;3;1;2;65;1144;307
Hovedstaden;2020-03-19;F;31;2;12;67;1175;319
Midtjylland;2020-03-19;F;19;0;3;67;1194;322
Nordjylland;2020-03-19;F;2;0;2;67;1196;324
Sjælland;2020-03-19;F;2;0;1;67;1198;325
Syddanmark;2020-03-19;F;8;0;0;67;1206;325
Hovedstaden;2020-03-19;M;25;5;15;72;1231;340
Midtjylland;2020-03-19;M;5;0;1;72;1236;341
Nordjylland;2020-03-19;M;3;0;3;72;1239;344
Sjælland;2020-03-19;M;4;1;2;73;1243;346
Syddanmark;2020-03-19;M;8;0;6;73;1251;352
Hovedstaden;2020-03-20;F;32;4;17;77;1283;369
Midtjylland;2020-03-20;F;3;0;3;77;1286;372
Nordjylland;2020-03-20;F;2;0;0;77;1288;372
Sjælland;2020-03-20;F;8;1;5;78;1296;377
Syddanmark;2020-03-20;F;6;0;3;78;1302;380
Hovedstaden;2020-03-20;M;23;3;15;81;1325;395
Midtjylland;2020-03-20;M;6;0;2;81;1331;397
Nordjylland;2020-03-20;M;3;1;2;82;1334;399
Sjælland;2020-03-20;M;11;2;10;84;1345;409
Syddanmark;2020-03-20;M;7;0;7;84;1352;416
Hovedstaden;2020-03-21;F;15;2;6;86;1367;422
Midtjylland;2020-03-21;F;2;0;2;86;1369;424
Nordjylland;2020-03-21;F;1;0;1;86;1370;425
Sjælland;2020-03-21;F;5;0;4;86;1375;429
Syddanmark;2020-03-21;F;3;0;1;86;1378;430
Hovedstaden;2020-03-21;M;13;1;7;87;1391;437
Midtjylland;2020-03-21;M;3;0;3;87;1394;440
Sjælland;2020-03-21;M;3;1;2;88;1397;442
Syddanmark;2020-03-21;M;3;0;3;88;1400;445
Hovedstaden;2020-03-22;F;15;2;11;90;1415;456
Midtjylland;2020-03-22;F;3;0;3;90;1418;459
Nordjylland;2020-03-22;F;1;1;1;91;1419;460
Sjælland;2020-03-22;F;5;1;4;92;1424;464
Syddanmark;2020-03-22;F;1;0;1;92;1425;465
Hovedstaden;2020-03-22;M;20;5;10;97;1445;475
Midtjylland;2020-03-22;M;6;0;5;97;1451;480
Nordjylland;2020-03-22;M;1;0;1;97;1452;481
Sjælland;2020-03-22;M;5;2;4;99;1457;485
Syddanmark;2020-03-22;M;4;0;2;99;1461;487
Hovedstaden;2020-03-23;F;38;2;17;101;1499;504
Midtjylland;2020-03-23;F;11;0;9;101;1510;513
Nordjylland;2020-03-23;F;6;1;2;102;1516;515
Sjælland;2020-03-23;F;5;0;2;102;1521;517
Syddanmark;2020-03-23;F;1;0;0;102;1522;517
Hovedstaden;2020-03-23;M;34;3;21;105;1556;538
Midtjylland;2020-03-23;M;10;2;9;107;1566;547
Nordjylland;2020-03-23;M;4;0;4;107;1570;551
Sjælland;2020-03-23;M;12;3;8;110;1582;559
Syddanmark;2020-03-23;M;10;2;10;112;1592;569
Hovedstaden;2020-03-24;F;35;4;12;116;1627;581
Midtjylland;2020-03-24;F;7;0;5;116;1634;586
Nordjylland;2020-03-24;F;1;0;1;116;1635;587
Sjælland;2020-03-24;F;5;0;2;116;1640;589
Syddanmark;2020-03-24;F;11;0;7;116;1651;596
Hovedstaden;2020-03-24;M;39;4;27;120;1690;623
Midtjylland;2020-03-24;M;9;2;8;122;1699;631
Nordjylland;2020-03-24;M;6;0;6;122;1705;637
Sjælland;2020-03-24;M;13;3;9;125;1718;646
Syddanmark;2020-03-24;M;12;0;7;125;1730;653
Hovedstaden;2020-03-25;F;40;5;18;130;1770;671
Midtjylland;2020-03-25;F;8;0;2;130;1778;673
Nordjylland;2020-03-25;F;3;0;2;130;1781;675
Sjælland;2020-03-25;F;15;0;11;130;1796;686
Syddanmark;2020-03-25;F;8;0;4;130;1804;690
Hovedstaden;2020-03-25;M;33;9;23;139;1837;713
Midtjylland;2020-03-25;M;14;1;10;140;1851;723
Nordjylland;2020-03-25;M;5;1;4;141;1856;727
Sjælland;2020-03-25;M;14;4;11;145;1870;738
Syddanmark;2020-03-25;M;11;2;8;147;1881;746
Hovedstaden;2020-03-26;F;53;8;18;155;1934;764
Midtjylland;2020-03-26;F;14;3;6;158;1948;770
Nordjylland;2020-03-26;F;7;0;5;158;1955;775
Sjælland;2020-03-26;F;13;1;9;159;1968;784
Syddanmark;2020-03-26;F;10;0;7;159;1978;791
Hovedstaden;2020-03-26;M;36;5;23;164;2014;814
Midtjylland;2020-03-26;M;13;1;9;165;2027;823
Nordjylland;2020-03-26;M;5;0;3;165;2032;826
Sjælland;2020-03-26;M;6;2;3;167;2038;829
Syddanmark;2020-03-26;M;13;1;5;168;2051;834
Hovedstaden;2020-03-27;F;71;2;18;170;2122;852
Midtjylland;2020-03-27;F;11;0;1;170;2133;853
Nordjylland;2020-03-27;F;7;0;3;170;2140;856
Sjælland;2020-03-27;F;16;2;7;172;2156;863
Syddanmark;2020-03-27;F;14;0;6;172;2170;869
Hovedstaden;2020-03-27;M;51;4;27;176;2221;896
Midtjylland;2020-03-27;M;14;1;10;177;2235;906
Nordjylland;2020-03-27;M;3;0;0;177;2238;906
Sjælland;2020-03-27;M;12;0;8;177;2250;914
Syddanmark;2020-03-27;M;17;2;14;179;2267;928
Hovedstaden;2020-03-28;F;66;3;18;182;2333;946
Midtjylland;2020-03-28;F;12;0;2;182;2345;948
Nordjylland;2020-03-28;F;5;0;1;182;2350;949
Sjælland;2020-03-28;F;13;1;8;183;2363;957
Syddanmark;2020-03-28;F;14;1;10;184;2377;967
Hovedstaden;2020-03-28;M;52;8;25;192;2429;992
Midtjylland;2020-03-28;M;9;3;7;195;2438;999
Nordjylland;2020-03-28;M;6;1;4;196;2444;1003
Sjælland;2020-03-28;M;10;2;10;198;2454;1013
Syddanmark;2020-03-28;M;9;0;7;198;2463;1020
Hovedstaden;2020-03-29;F;51;3;14;201;2514;1034
Midtjylland;2020-03-29;F;3;1;2;202;2517;1036
Nordjylland;2020-03-29;F;4;2;1;204;2521;1037
Sjælland;2020-03-29;F;7;1;6;205;2528;1043
Syddanmark;2020-03-29;F;5;0;5;205;2533;1048
Hovedstaden;2020-03-29;M;32;1;8;206;2565;1056
Midtjylland;2020-03-29;M;5;1;3;207;2570;1059
Nordjylland;2020-03-29;M;5;1;3;208;2575;1062
Sjælland;2020-03-29;M;8;3;8;211;2583;1070
Syddanmark;2020-03-29;M;7;0;4;211;2590;1074
Hovedstaden;2020-03-30;F;97;9;24;220;2687;1098
Midtjylland;2020-03-30;F;25;2;4;222;2712;1102
Nordjylland;2020-03-30;F;8;0;2;222;2720;1104
Sjælland;2020-03-30;F;37;3;6;225;2757;1110
Syddanmark;2020-03-30;F;24;1;7;226;2781;1117
Hovedstaden;2020-03-30;M;64;4;22;230;2845;1139
Midtjylland;2020-03-30;M;16;2;6;232;2861;1145
Nordjylland;2020-03-30;M;3;0;0;232;2864;1145
Sjælland;2020-03-30;M;19;3;9;235;2883;1154
Syddanmark;2020-03-30;M;16;1;4;236;2899;1158
Hovedstaden;2020-03-31;F;74;9;21;245;2973;1179
Midtjylland;2020-03-31;F;39;0;6;245;3012;1185
Nordjylland;2020-03-31;F;15;2;2;247;3027;1187
Sjælland;2020-03-31;F;19;1;6;248;3046;1193
Syddanmark;2020-03-31;F;11;1;2;249;3057;1195
Hovedstaden;2020-03-31;M;49;2;15;251;3106;1210
Midtjylland;2020-03-31;M;11;3;7;254;3117;1217
Nordjylland;2020-03-31;M;3;1;0;255;3120;1217
Sjælland;2020-03-31;M;19;1;3;256;3139;1220
Syddanmark;2020-03-31;M;13;2;4;258;3152;1224
Hovedstaden;2020-04-01;F;89;6;15;264;3241;1239
Midtjylland;2020-04-01;F;40;2;4;266;3281;1243
Nordjylland;2020-04-01;F;13;1;2;267;3294;1245
Sjælland;2020-04-01;F;21;0;7;267;3315;1252
Syddanmark;2020-04-01;F;25;2;4;269;3340;1256
Hovedstaden;2020-04-01;M;51;2;12;271;3391;1268
Midtjylland;2020-04-01;M;14;1;4;272;3405;1272
Nordjylland;2020-04-01;M;3;0;3;272;3408;1275
Sjælland;2020-04-01;M;12;0;2;272;3420;1277
Syddanmark;2020-04-01;M;10;1;4;273;3430;1281
Hovedstaden;2020-04-02;F;120;3;20;276;3550;1301
Midtjylland;2020-04-02;F;36;1;4;277;3586;1305
Nordjylland;2020-04-02;F;18;0;1;277;3604;1306
Sjælland;2020-04-02;F;41;4;6;281;3645;1312
Syddanmark;2020-04-02;F;33;1;6;282;3678;1318
Hovedstaden;2020-04-02;M;67;6;18;288;3745;1336
Midtjylland;2020-04-02;M;14;1;3;289;3759;1339
Nordjylland;2020-04-02;M;8;1;6;290;3767;1345
Sjælland;2020-04-02;M;24;0;7;290;3791;1352
Syddanmark;2020-04-02;M;20;1;2;291;3811;1354
Hovedstaden;2020-04-03;F;168;5;20;296;3979;1374
Midtjylland;2020-04-03;F;46;0;7;296;4025;1381
Nordjylland;2020-04-03;F;19;1;7;297;4044;1388
Sjælland;2020-04-03;F;35;1;2;298;4079;1390
Syddanmark;2020-04-03;F;40;0;3;298;4119;1393
Hovedstaden;2020-04-03;M;89;6;18;304;4208;1411
Midtjylland;2020-04-03;M;24;2;4;306;4232;1415
Nordjylland;2020-04-03;M;9;1;2;307;4241;1417
Sjælland;2020-04-03;M;18;0;4;307;4259;1421
Syddanmark;2020-04-03;M;23;0;7;307;4282;1428
Hovedstaden;2020-04-04;F;127;2;12;309;4409;1440
Midtjylland;2020-04-04;F;19;1;4;310;4428;1444
Nordjylland;2020-04-04;F;2;0;0;310;4430;1444
Sjælland;2020-04-04;F;21;1;5;311;4451;1449
Syddanmark;2020-04-04;F;13;0;2;311;4464;1451
Hovedstaden;2020-04-04;M;86;6;22;317;4550;1473
Midtjylland;2020-04-04;M;11;3;4;320;4561;1477
Nordjylland;2020-04-04;M;6;1;4;321;4567;1481
Sjælland;2020-04-04;M;5;1;3;322;4572;1484
Syddanmark;2020-04-04;M;4;0;1;322;4576;1485
Hovedstaden;2020-04-05;F;64;6;16;328;4640;1501
Midtjylland;2020-04-05;F;18;0;4;328;4658;1505
Nordjylland;2020-04-05;F;3;1;0;329;4661;1505
Sjælland;2020-04-05;F;13;0;2;329;4674;1507
Syddanmark;2020-04-05;F;9;0;1;329;4683;1508
Hovedstaden;2020-04-05;M;38;4;8;333;4721;1516
Midtjylland;2020-04-05;M;2;0;0;333;4723;1516
Nordjylland;2020-04-05;M;2;0;1;333;4725;1517
Sjælland;2020-04-05;M;6;0;2;333;4731;1519
Syddanmark;2020-04-05;M;3;1;2;334;4734;1521
Hovedstaden;2020-04-06;F;128;4;18;338;4862;1539
Midtjylland;2020-04-06;F;44;1;4;339;4906;1543
Nordjylland;2020-04-06;F;10;0;0;339;4916;1543
Sjælland;2020-04-06;F;51;2;9;341;4967;1552
Syddanmark;2020-04-06;F;25;1;1;342;4992;1553
Hovedstaden;2020-04-06;M;93;4;12;346;5085;1565
Midtjylland;2020-04-06;M;27;2;4;348;5112;1569
Nordjylland;2020-04-06;M;11;0;1;348;5123;1570
Sjælland;2020-04-06;M;11;0;2;348;5134;1572
Syddanmark;2020-04-06;M;22;0;5;348;5156;1577
Hovedstaden;2020-04-07;F;105;6;20;354;5261;1597
Midtjylland;2020-04-07;F;41;1;4;355;5302;1601
Nordjylland;2020-04-07;F;3;0;0;355;5305;1601
Sjælland;2020-04-07;F;30;0;3;355;5335;1604
Syddanmark;2020-04-07;F;24;0;4;355;5359;1608
Hovedstaden;2020-04-07;M;78;3;13;358;5437;1621
Midtjylland;2020-04-07;M;25;2;2;360;5462;1623
Nordjylland;2020-04-07;M;6;0;1;360;5468;1624
Sjælland;2020-04-07;M;23;0;4;360;5491;1628
Syddanmark;2020-04-07;M;11;0;0;360;5502;1628
Hovedstaden;2020-04-08;F;112;2;12;362;5614;1640
Midtjylland;2020-04-08;F;29;1;3;363;5643;1643
Nordjylland;2020-04-08;F;6;0;0;363;5649;1643
Sjælland;2020-04-08;F;35;0;6;363;5684;1649
Syddanmark;2020-04-08;F;16;1;0;364;5700;1649
Hovedstaden;2020-04-08;M;57;3;8;367;5757;1657
Midtjylland;2020-04-08;M;21;0;3;367;5778;1660
Nordjylland;2020-04-08;M;1;0;0;367;5779;1660
Sjælland;2020-04-08;M;16;2;5;369;5795;1665
Syddanmark;2020-04-08;M;3;0;0;369;5798;1665
Hovedstaden;2020-04-09;F;52;2;11;371;5850;1676
Midtjylland;2020-04-09;F;12;0;2;371;5862;1678
Nordjylland;2020-04-09;F;4;0;0;371;5866;1678
Sjælland;2020-04-09;F;10;1;5;372;5876;1683
Syddanmark;2020-04-09;F;8;0;2;372;5884;1685
Hovedstaden;2020-04-09;M;22;1;2;373;5906;1687
Midtjylland;2020-04-09;M;11;1;3;374;5917;1690
Nordjylland;2020-04-09;M;4;0;0;374;5921;1690
Sjælland;2020-04-09;M;9;1;3;375;5930;1693
Syddanmark;2020-04-09;M;4;0;0;375;5934;1693
Hovedstaden;2020-04-10;F;52;2;3;377;5986;1696
Midtjylland;2020-04-10;F;12;0;2;377;5998;1698
Nordjylland;2020-04-10;F;4;0;1;377;6002;1699
Sjælland;2020-04-10;F;15;0;1;377;6017;1700
Syddanmark;2020-04-10;F;1;0;0;377;6018;1700
Hovedstaden;2020-04-10;M;34;1;3;378;6052;1703
Midtjylland;2020-04-10;M;5;0;1;378;6057;1704
Nordjylland;2020-04-10;M;3;0;1;378;6060;1705
Sjælland;2020-04-10;M;6;1;5;379;6066;1710
Syddanmark;2020-04-10;M;6;0;1;379;6072;1711
Hovedstaden;2020-04-11;F;34;2;6;381;6106;1717
Midtjylland;2020-04-11;F;23;1;3;382;6129;1720
Nordjylland;2020-04-11;F;2;0;1;382;6131;1721
Sjælland;2020-04-11;F;8;1;4;383;6139;1725
Syddanmark;2020-04-11;F;8;0;2;383;6147;1727
Hovedstaden;2020-04-11;M;40;3;8;386;6187;1735
Midtjylland;2020-04-11;M;11;2;4;388;6198;1739
Sjælland;2020-04-11;M;7;0;2;388;6205;1741
Syddanmark;2020-04-11;M;6;1;3;389;6211;1744
Hovedstaden;2020-04-12;F;64;3;8;392;6275;1752
Midtjylland;2020-04-12;F;13;2;2;394;6288;1754
Nordjylland;2020-04-12;F;5;0;1;394;6293;1755
Sjælland;2020-04-12;F;17;0;4;394;6310;1759
Syddanmark;2020-04-12;F;7;0;1;394;6317;1760
Hovedstaden;2020-04-12;M;31;1;3;395;6348;1763
Midtjylland;2020-04-12;M;8;0;1;395;6356;1764
Nordjylland;2020-04-12;M;3;0;2;395;6359;1766
Sjælland;2020-04-12;M;2;0;0;395;6361;1766
Syddanmark;2020-04-12;M;6;0;1;395;6367;1767
Hovedstaden;2020-04-13;F;57;3;5;398;6424;1772
Midtjylland;2020-04-13;F;20;0;2;398;6444;1774
Nordjylland;2020-04-13;F;4;0;0;398;6448;1774
Sjælland;2020-04-13;F;11;1;3;399;6459;1777
Syddanmark;2020-04-13;F;4;0;1;399;6463;1778
Hovedstaden;2020-04-13;M;39;4;13;403;6502;1791
Midtjylland;2020-04-13;M;11;0;2;403;6513;1793
Nordjylland;2020-04-13;M;1;0;0;403;6514;1793
Sjælland;2020-04-13;M;7;1;5;404;6521;1798
Syddanmark;2020-04-13;M;2;0;1;404;6523;1799
Hovedstaden;2020-04-14;F;88;5;13;409;6611;1812
Midtjylland;2020-04-14;F;30;0;3;409;6641;1815
Nordjylland;2020-04-14;F;2;0;0;409;6643;1815
Sjælland;2020-04-14;F;36;0;4;409;6679;1819
Syddanmark;2020-04-14;F;17;1;2;410;6696;1821
Hovedstaden;2020-04-14;M;46;1;6;411;6742;1827
Midtjylland;2020-04-14;M;16;3;5;414;6758;1832
Sjælland;2020-04-14;M;16;1;3;415;6774;1835
Syddanmark;2020-04-14;M;7;0;0;415;6781;1835
Hovedstaden;2020-04-15;F;79;5;6;420;6860;1841
Midtjylland;2020-04-15;F;17;1;1;421;6877;1842
Nordjylland;2020-04-15;F;4;0;0;421;6881;1842
Sjælland;2020-04-15;F;20;0;5;421;6901;1847
Syddanmark;2020-04-15;F;8;0;1;421;6909;1848
Hovedstaden;2020-04-15;M;40;2;4;423;6949;1852
Midtjylland;2020-04-15;M;10;1;2;424;6959;1854
Nordjylland;2020-04-15;M;4;0;0;424;6963;1854
Sjælland;2020-04-15;M;10;2;5;426;6973;1859
Syddanmark;2020-04-15;M;6;0;1;426;6979;1860
Hovedstaden;2020-04-16;F;53;1;7;427;7032;1867
Midtjylland;2020-04-16;F;26;0;2;427;7058;1869
Nordjylland;2020-04-16;F;4;0;0;427;7062;1869
Sjælland;2020-04-16;F;16;2;5;429;7078;1874
Syddanmark;2020-04-16;F;8;0;1;429;7086;1875
Hovedstaden;2020-04-16;M;37;2;8;431;7123;1883
Midtjylland;2020-04-16;M;16;1;2;432;7139;1885
Nordjylland;2020-04-16;M;1;0;0;432;7140;1885
Sjælland;2020-04-16;M;8;0;0;432;7148;1885
Syddanmark;2020-04-16;M;9;0;1;432;7157;1886
Hovedstaden;2020-04-17;F;51;1;7;433;7208;1893
Midtjylland;2020-04-17;F;18;1;1;434;7226;1894
Nordjylland;2020-04-17;F;2;0;0;434;7228;1894
Sjælland;2020-04-17;F;29;2;7;436;7257;1901
Syddanmark;2020-04-17;F;8;0;2;436;7265;1903
Hovedstaden;2020-04-17;M;37;3;7;439;7302;1910
Midtjylland;2020-04-17;M;5;0;0;439;7307;1910
Nordjylland;2020-04-17;M;2;1;0;440;7309;1910
Sjælland;2020-04-17;M;14;1;4;441;7323;1914
Syddanmark;2020-04-17;M;2;0;0;441;7325;1914
Hovedstaden;2020-04-18;F;37;1;7;442;7362;1921
Midtjylland;2020-04-18;F;13;0;3;442;7375;1924
Nordjylland;2020-04-18;F;2;0;1;442;7377;1925
Sjælland;2020-04-18;F;15;1;2;443;7392;1927
Hovedstaden;2020-04-18;M;23;3;7;446;7415;1934
Midtjylland;2020-04-18;M;4;0;0;446;7419;1934
Sjælland;2020-04-18;M;7;2;4;448;7426;1938
Syddanmark;2020-04-18;M;3;0;0;448;7429;1938
Hovedstaden;2020-04-19;F;37;1;7;449;7466;1945
Midtjylland;2020-04-19;F;8;0;2;449;7474;1947
Sjælland;2020-04-19;F;19;0;4;449;7493;1951
Syddanmark;2020-04-19;F;3;0;0;449;7496;1951
Hovedstaden;2020-04-19;M;24;1;9;450;7520;1960
Midtjylland;2020-04-19;M;7;0;1;450;7527;1961
Nordjylland;2020-04-19;M;2;0;0;450;7529;1961
Sjælland;2020-04-19;M;10;3;7;453;7539;1968
Syddanmark;2020-04-19;M;1;0;0;453;7540;1968
Hovedstaden;2020-04-20;F;89;5;8;458;7629;1976
Midtjylland;2020-04-20;F;15;0;1;458;7644;1977
Nordjylland;2020-04-20;F;5;0;0;458;7649;1977
Sjælland;2020-04-20;F;26;1;7;459;7675;1984
Syddanmark;2020-04-20;F;2;0;0;459;7677;1984
Hovedstaden;2020-04-20;M;50;3;11;462;7727;1995
Midtjylland;2020-04-20;M;11;1;2;463;7738;1997
Nordjylland;2020-04-20;M;1;0;0;463;7739;1997
Sjælland;2020-04-20;M;10;1;5;464;7749;2002
Syddanmark;2020-04-20;M;3;2;2;466;7752;2004
Hovedstaden;2020-04-21;F;66;3;10;469;7818;2014
Midtjylland;2020-04-21;F;10;0;0;469;7828;2014
Nordjylland;2020-04-21;F;4;1;0;470;7832;2014
Sjælland;2020-04-21;F;32;1;7;471;7864;2021
Syddanmark;2020-04-21;F;7;0;1;471;7871;2022
Hovedstaden;2020-04-21;M;54;5;6;476;7925;2028
Midtjylland;2020-04-21;M;8;1;2;477;7933;2030
Nordjylland;2020-04-21;M;1;0;0;477;7934;2030
Sjælland;2020-04-21;M;15;1;7;478;7949;2037
Syddanmark;2020-04-21;M;5;0;0;478;7954;2037
Hovedstaden;2020-04-22;F;87;3;9;481;8041;2046
Midtjylland;2020-04-22;F;17;0;2;481;8058;2048
Nordjylland;2020-04-22;F;5;0;0;481;8063;2048
Sjælland;2020-04-22;F;22;2;4;483;8085;2052
Syddanmark;2020-04-22;F;1;0;0;483;8086;2052
Hovedstaden;2020-04-22;M;66;6;12;489;8152;2064
Midtjylland;2020-04-22;M;15;1;4;490;8167;2068
Sjælland;2020-04-22;M;12;1;3;491;8179;2071
Syddanmark;2020-04-22;M;1;0;0;491;8180;2071
Hovedstaden;2020-04-23;F;89;4;10;495;8269;2081
Midtjylland;2020-04-23;F;22;1;1;496;8291;2082
Nordjylland;2020-04-23;F;2;0;0;496;8293;2082
Sjælland;2020-04-23;F;30;1;6;497;8323;2088
Syddanmark;2020-04-23;F;4;0;0;497;8327;2088
Hovedstaden;2020-04-23;M;49;1;7;498;8376;2095
Midtjylland;2020-04-23;M;10;0;1;498;8386;2096
