"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-17,1083,Syddanmark,485,1083
2021-01-17,1084,Hovedstaden,36,1084
2021-01-17,1085,Sjælland,195,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,162,1082
2021-01-18,1083,Syddanmark,519,1083
2021-01-18,1084,Hovedstaden,133,1084
2021-01-18,1085,Sjælland,1322,1085
2021-01-19,1081,Nordjylland,1,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,460,1083
2021-01-19,1084,Hovedstaden,167,1084
2021-01-19,1085,Sjælland,1457,1085
2021-01-20,1081,Nordjylland,1,1081
2021-01-20,1082,Midtjylland,98,1082
2021-01-20,1083,Syddanmark,318,1083
2021-01-20,1084,Hovedstaden,124,1084
2021-01-20,1085,Sjælland,1353,1085
2021-01-21,1081,Nordjylland,9,1081
2021-01-21,1082,Midtjylland,574,1082
2021-01-21,1083,Syddanmark,459,1083
2021-01-21,1084,Hovedstaden,113,1084
2021-01-21,1085,Sjælland,1202,1085
2021-01-22,1081,Nordjylland,2492,1081
2021-01-22,1082,Midtjylland,1200,1082
2021-01-22,1083,Syddanmark,1468,1083
2021-01-22,1084,Hovedstaden,69,1084
2021-01-22,1085,Sjælland,447,1085
2021-01-23,1081,Nordjylland,1383,1081
2021-01-23,1082,Midtjylland,1053,1082
2021-01-23,1083,Syddanmark,178,1083
2021-01-23,1084,Hovedstaden,4202,1084
2021-01-23,1085,Sjælland,347,1085
2021-01-24,1081,Nordjylland,646,1081
2021-01-24,1082,Midtjylland,1354,1082
2021-01-24,1083,Syddanmark,235,1083
2021-01-24,1084,Hovedstaden,4071,1084
2021-01-24,1085,Sjælland,261,1085
2021-01-25,1081,Nordjylland,9,1081
2021-01-25,1082,Midtjylland,171,1082
2021-01-25,1083,Syddanmark,1762,1083
2021-01-25,1084,Hovedstaden,252,1084
2021-01-25,1085,Sjælland,262,1085
2021-01-26,1081,Nordjylland,154,1081
2021-01-26,1082,Midtjylland,45,1082
2021-01-26,1083,Syddanmark,980,1083
2021-01-26,1084,Hovedstaden,137,1084
2021-01-26,1085,Sjælland,437,1085
2021-01-27,1081,Nordjylland,221,1081
2021-01-27,1082,Midtjylland,1106,1082
2021-01-27,1083,Syddanmark,1113,1083
2021-01-27,1084,Hovedstaden,619,1084
2021-01-27,1085,Sjælland,1310,1085
2021-01-28,1081,Nordjylland,519,1081
2021-01-28,1082,Midtjylland,1767,1082
2021-01-28,1083,Syddanmark,486,1083
2021-01-28,1084,Hovedstaden,3775,1084
2021-01-28,1085,Sjælland,1574,1085
2021-01-29,1081,Nordjylland,1916,1081
2021-01-29,1082,Midtjylland,3838,1082
2021-01-29,1083,Syddanmark,3044,1083
2021-01-29,1084,Hovedstaden,7641,1084
2021-01-29,1085,Sjælland,1908,1085
2021-01-30,1081,Nordjylland,1872,1081
2021-01-30,1082,Midtjylland,2659,1082
2021-01-30,1083,Syddanmark,2814,1083
2021-01-30,1084,Hovedstaden,4703,1084
2021-01-30,1085,Sjælland,979,1085
2021-01-31,1081,Nordjylland,1607,1081
2021-01-31,1082,Midtjylland,6268,1082
2021-01-31,1083,Syddanmark,1221,1083
2021-01-31,1084,Hovedstaden,2677,1084
2021-01-31,1085,Sjælland,564,1085
2021-02-01,1081,Nordjylland,628,1081
2021-02-01,1082,Midtjylland,1508,1082
2021-02-01,1083,Syddanmark,3113,1083
2021-02-01,1084,Hovedstaden,1882,1084
2021-02-01,1085,Sjælland,756,1085
2021-02-02,1081,Nordjylland,384,1081
2021-02-02,1082,Midtjylland,1011,1082
2021-02-02,1083,Syddanmark,1080,1083
2021-02-02,1084,Hovedstaden,102,1084
2021-02-02,1085,Sjælland,453,1085
2021-02-03,1081,Nordjylland,525,1081
2021-02-03,1082,Midtjylland,1393,1082
2021-02-03,1083,Syddanmark,546,1083
2021-02-03,1084,Hovedstaden,3012,1084
2021-02-03,1085,Sjælland,714,1085
2021-02-04,1081,Nordjylland,293,1081
2021-02-04,1082,Midtjylland,1795,1082
