"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-01;40-64;Syddanmark;1;0
2020-12-16;20-39;Hovedstaden;1;0
2020-12-17;20-39;Hovedstaden;1;0
2020-12-18;20-39;Hovedstaden;1;0
2020-12-19;80+;Hovedstaden;1;0
2020-12-21;20-39;Midtjylland;1;0
2020-12-21;40-64;Hovedstaden;2;0
2020-12-22;20-39;Nordjylland;1;0
2020-12-22;20-39;Midtjylland;1;0
2020-12-22;20-39;Syddanmark;1;0
2020-12-23;40-64;Midtjylland;1;0
2020-12-23;80+;Midtjylland;1;0
2020-12-23;40-64;Hovedstaden;1;0
2020-12-23;80+;Hovedstaden;1;0
2020-12-24;20-39;Hovedstaden;1;0
2020-12-24;40-64;Hovedstaden;1;0
2020-12-24;65-79;Hovedstaden;1;0
2020-12-24;20-39;Sjælland;1;0
2020-12-26;65-79;Hovedstaden;2;0
2020-12-26;40-64;Sjælland;1;0
2020-12-27;20-39;Nordjylland;244;0
2020-12-27;40-64;Nordjylland;401;0
2020-12-27;65-79;Nordjylland;129;0
2020-12-27;80+;Nordjylland;201;0
2020-12-27;16-19;Midtjylland;8;0
2020-12-27;20-39;Midtjylland;344;0
2020-12-27;40-64;Midtjylland;714;0
2020-12-27;65-79;Midtjylland;301;0
2020-12-27;80+;Midtjylland;396;0
2020-12-27;20-39;Syddanmark;39;0
2020-12-27;40-64;Syddanmark;154;0
2020-12-27;65-79;Syddanmark;82;0
2020-12-27;80+;Syddanmark;158;0
2020-12-27;16-19;Hovedstaden;1;0
2020-12-27;20-39;Hovedstaden;470;0
2020-12-27;40-64;Hovedstaden;817;0
2020-12-27;65-79;Hovedstaden;159;0
2020-12-27;80+;Hovedstaden;136;0
2020-12-27;16-19;Sjælland;1;0
2020-12-27;20-39;Sjælland;152;0
2020-12-27;40-64;Sjælland;473;0
2020-12-27;65-79;Sjælland;228;0
2020-12-27;80+;Sjælland;370;0
2020-12-28;20-39;Nordjylland;23;0
2020-12-28;40-64;Nordjylland;75;0
2020-12-28;65-79;Nordjylland;7;0
2020-12-28;20-39;Midtjylland;57;0
2020-12-28;40-64;Midtjylland;126;0
2020-12-28;65-79;Midtjylland;12;0
2020-12-28;12-15;Syddanmark;1;0
2020-12-28;16-19;Syddanmark;1;0
2020-12-28;20-39;Syddanmark;108;0
