"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-08;40-49;Nordjylland;1;0
2020-12-11;20-29;Nordjylland;1;0
2020-12-16;20-29;Hovedstaden;1;0
2020-12-17;30-39;Hovedstaden;1;0
2020-12-18;30-39;Hovedstaden;1;0
2020-12-18;10-19;Sjælland;1;0
2020-12-19;80-89;Hovedstaden;1;0
2020-12-20;40-49;Hovedstaden;1;0
2020-12-21;30-39;Midtjylland;1;0
2020-12-21;40-49;Hovedstaden;2;0
2020-12-22;30-39;Midtjylland;1;0
2020-12-22;40-49;Midtjylland;1;0
2020-12-22;20-29;Syddanmark;1;0
2020-12-22;40-49;Syddanmark;1;0
2020-12-22;60-69;Hovedstaden;1;0
2020-12-23;40-49;Midtjylland;1;0
2020-12-23;90+;Midtjylland;1;0
2020-12-23;50-59;Hovedstaden;1;0
2020-12-23;90+;Hovedstaden;1;0
2020-12-24;20-29;Hovedstaden;1;0
2020-12-24;40-49;Hovedstaden;1;0
2020-12-24;70-79;Hovedstaden;1;0
2020-12-24;20-29;Sjælland;1;0
2020-12-26;20-29;Hovedstaden;1;0
2020-12-26;60-69;Hovedstaden;1;0
2020-12-26;70-79;Hovedstaden;1;0
2020-12-26;30-39;Sjælland;1;0
2020-12-26;50-59;Sjælland;1;0
2020-12-27;20-29;Nordjylland;127;0
2020-12-27;30-39;Nordjylland;111;0
2020-12-27;40-49;Nordjylland;138;0
2020-12-27;50-59;Nordjylland;173;0
2020-12-27;60-69;Nordjylland;140;0
2020-12-27;70-79;Nordjylland;70;0
2020-12-27;80-89;Nordjylland;111;0
2020-12-27;90+;Nordjylland;71;0
2020-12-27;10-19;Midtjylland;5;0
2020-12-27;20-29;Midtjylland;153;0
2020-12-27;30-39;Midtjylland;187;0
2020-12-27;40-49;Midtjylland;257;0
2020-12-27;50-59;Midtjylland;292;0
2020-12-27;60-69;Midtjylland;273;0
2020-12-27;70-79;Midtjylland;174;0
2020-12-27;80-89;Midtjylland;241;0
2020-12-27;90+;Midtjylland;121;0
2020-12-27;20-29;Syddanmark;16;0
2020-12-27;30-39;Syddanmark;20;0
2020-12-27;40-49;Syddanmark;52;0
2020-12-27;50-59;Syddanmark;74;0
2020-12-27;60-69;Syddanmark;45;0
2020-12-27;70-79;Syddanmark;64;0
2020-12-27;80-89;Syddanmark;78;0
2020-12-27;90+;Syddanmark;59;0
2020-12-27;10-19;Hovedstaden;1;0
2020-12-27;20-29;Hovedstaden;161;0
2020-12-27;30-39;Hovedstaden;301;0
2020-12-27;40-49;Hovedstaden;327;0
2020-12-27;50-59;Hovedstaden;332;0
2020-12-27;60-69;Hovedstaden;253;0
2020-12-27;70-79;Hovedstaden;63;0
2020-12-27;80-89;Hovedstaden;72;0
2020-12-27;90+;Hovedstaden;54;0
2020-12-27;10-19;Sjælland;1;0
2020-12-27;20-29;Sjælland;45;0
2020-12-27;30-39;Sjælland;101;0
