"Revacc. 1 dato";"Regionsnavn";"Antal revacc. 1"
2021-02-23;Midtjylland;1
2021-02-24;Hovedstaden;1
2021-02-25;Sjælland;1
2021-02-26;Syddanmark;1
2021-02-27;Midtjylland;1
2021-02-27;Hovedstaden;1
2021-02-28;Syddanmark;1
2021-02-28;Hovedstaden;1
2021-03-01;Syddanmark;2
2021-03-02;Syddanmark;1
2021-03-03;Hovedstaden;1
2021-03-04;Hovedstaden;1
2021-03-08;Hovedstaden;1
2021-03-09;Midtjylland;12
2021-03-10;Midtjylland;1
2021-03-10;Hovedstaden;1
2021-03-11;Hovedstaden;1
2021-03-13;Syddanmark;1
2021-03-15;Hovedstaden;1
2021-03-23;Midtjylland;1
2021-03-23;Hovedstaden;1
2021-03-24;Hovedstaden;1
2021-03-25;Nordjylland;1
2021-03-25;Hovedstaden;1
2021-03-28;Hovedstaden;1
2021-03-29;Hovedstaden;1
2021-03-30;Hovedstaden;3
2021-03-30;Sjælland;1
2021-04-01;Sjælland;1
2021-04-03;Hovedstaden;1
2021-04-06;Nordjylland;1
2021-04-06;Midtjylland;1
2021-04-06;Syddanmark;1
2021-04-06;Hovedstaden;2
2021-04-06;Sjælland;1
2021-04-07;Midtjylland;1
2021-04-07;Sjælland;1
2021-04-09;Nordjylland;1
2021-04-09;Hovedstaden;2
2021-04-12;Midtjylland;1
2021-04-13;Midtjylland;1
2021-04-14;Midtjylland;1
2021-04-14;Syddanmark;1
2021-04-14;Hovedstaden;1
2021-04-14;Sjælland;1
2021-04-15;Syddanmark;1
2021-04-15;Sjælland;1
2021-04-16;Hovedstaden;2
2021-04-19;Hovedstaden;1
2021-04-20;Midtjylland;2
2021-04-21;Midtjylland;1
2021-04-22;Syddanmark;4
2021-04-22;Hovedstaden;1
2021-04-23;Midtjylland;1
2021-04-23;Hovedstaden;1
2021-04-25;Hovedstaden;1
2021-04-26;Syddanmark;2
2021-04-26;Hovedstaden;2
2021-04-27;Midtjylland;3
2021-04-27;Hovedstaden;6
2021-04-27;Sjælland;1
2021-04-28;Midtjylland;4
2021-04-28;Hovedstaden;3
2021-04-28;Sjælland;1
2021-04-29;Hovedstaden;2
2021-04-29;Sjælland;1
2021-04-30;Syddanmark;1
2021-05-01;Midtjylland;1
2021-05-01;Syddanmark;3
2021-05-02;Syddanmark;1
2021-05-03;Nordjylland;1
2021-05-03;Midtjylland;2
2021-05-03;Syddanmark;3
2021-05-03;Hovedstaden;1
2021-05-04;Midtjylland;3
2021-05-04;Syddanmark;4
2021-05-04;Hovedstaden;1
2021-05-05;Midtjylland;1
2021-05-06;Midtjylland;1
2021-05-06;Syddanmark;2
2021-05-06;Hovedstaden;2
2021-05-06;Sjælland;1
2021-05-07;Syddanmark;1
2021-05-08;Sjælland;1
2021-05-10;Midtjylland;1
2021-05-10;Syddanmark;2
2021-05-10;Hovedstaden;2
2021-05-11;Syddanmark;1
2021-05-11;Hovedstaden;1
2021-05-12;Midtjylland;1
2021-05-12;Hovedstaden;2
2021-05-13;Midtjylland;1
2021-05-14;Midtjylland;2
2021-05-14;Syddanmark;2
2021-05-14;Hovedstaden;1
2021-05-15;Nordjylland;1
2021-05-16;Syddanmark;1
2021-05-16;Hovedstaden;1
2021-05-17;Midtjylland;2
2021-05-17;Hovedstaden;1
2021-05-18;Syddanmark;1
2021-05-18;Hovedstaden;2
2021-05-19;Hovedstaden;2
2021-05-20;Syddanmark;1
2021-05-21;Syddanmark;1
2021-05-22;Hovedstaden;1
2021-05-22;Sjælland;1
2021-05-24;Syddanmark;1
2021-05-24;Hovedstaden;1
2021-05-25;Midtjylland;2
2021-05-25;Syddanmark;1
2021-05-26;Nordjylland;1
2021-05-26;Midtjylland;2
2021-05-26;Syddanmark;1
2021-05-26;Hovedstaden;1
2021-05-27;Syddanmark;1
2021-05-27;Hovedstaden;1
2021-05-27;Sjælland;1
2021-05-28;Midtjylland;1
2021-05-28;Syddanmark;2
2021-05-29;Nordjylland;1
2021-05-29;Syddanmark;1
2021-05-30;Nordjylland;1
2021-05-31;Midtjylland;1
2021-05-31;Syddanmark;1
2021-05-31;Hovedstaden;1
2021-06-01;Nordjylland;1
2021-06-01;Hovedstaden;3
2021-06-02;Midtjylland;1
2021-06-02;Hovedstaden;1
2021-06-02;Sjælland;1
2021-06-04;Hovedstaden;2
2021-06-05;Syddanmark;1
2021-06-05;Hovedstaden;2
2021-06-07;Sjælland;1
2021-06-08;Nordjylland;1
2021-06-08;Midtjylland;1
2021-06-08;Syddanmark;1
2021-06-08;Hovedstaden;2
2021-06-09;Hovedstaden;2
2021-06-10;Nordjylland;1
2021-06-10;Midtjylland;1
2021-06-10;Hovedstaden;2
2021-06-10;Sjælland;1
2021-06-11;Syddanmark;1
2021-06-13;Syddanmark;1
2021-06-14;Hovedstaden;2
2021-06-15;Midtjylland;1
2021-06-16;Hovedstaden;1
2021-06-16;Sjælland;1
2021-06-17;Hovedstaden;2
2021-06-18;Syddanmark;1
2021-06-18;Hovedstaden;2
2021-06-19;Syddanmark;1
2021-06-19;Sjælland;2
2021-06-21;Midtjylland;2
2021-06-21;Syddanmark;1
2021-06-22;Nordjylland;1
2021-06-22;Midtjylland;1
2021-06-22;Hovedstaden;1
2021-06-23;Syddanmark;1
2021-06-23;Hovedstaden;1
2021-06-24;Nordjylland;1
2021-06-24;Midtjylland;1
2021-06-24;Hovedstaden;1
2021-06-25;Syddanmark;1
2021-06-25;Hovedstaden;11
2021-06-27;Hovedstaden;2
2021-06-28;Syddanmark;1
2021-06-29;Midtjylland;2
2021-06-30;Midtjylland;1
2021-07-01;Hovedstaden;1
2021-07-02;Hovedstaden;2
2021-07-03;Syddanmark;1
2021-07-03;Sjælland;1
2021-07-04;Hovedstaden;4
2021-07-06;Midtjylland;1
2021-07-06;Syddanmark;3
2021-07-06;Hovedstaden;2
2021-07-06;Sjælland;1
2021-07-07;Midtjylland;1
2021-07-07;Hovedstaden;1
2021-07-09;Midtjylland;2
2021-07-09;Hovedstaden;6
2021-07-10;Nordjylland;1
2021-07-10;Hovedstaden;3
2021-07-10;Sjælland;1
2021-07-11;Hovedstaden;1
2021-07-12;Hovedstaden;2
2021-07-12;Sjælland;1
2021-07-13;Hovedstaden;2
2021-07-14;Hovedstaden;3
2021-07-14;Sjælland;1
2021-07-15;Midtjylland;2
2021-07-15;Hovedstaden;2
2021-07-16;Nordjylland;1
2021-07-16;Midtjylland;1
2021-07-17;Syddanmark;2
2021-07-17;Hovedstaden;1
2021-07-18;Hovedstaden;4
2021-07-19;Midtjylland;1
2021-07-19;Syddanmark;1
2021-07-19;Hovedstaden;2
2021-07-20;Midtjylland;1
2021-07-20;Syddanmark;1
2021-07-20;Sjælland;1
2021-07-21;Midtjylland;1
2021-07-21;Syddanmark;1
2021-07-21;Hovedstaden;1
2021-07-21;Sjælland;1
2021-07-22;Nordjylland;1
2021-07-22;Hovedstaden;2
2021-07-23;Hovedstaden;3
2021-07-23;Sjælland;1
2021-07-24;Hovedstaden;1
2021-07-25;Midtjylland;1
2021-07-26;Nordjylland;1
2021-07-26;Midtjylland;1
2021-07-26;Hovedstaden;4
2021-07-26;Sjælland;3
2021-07-27;Midtjylland;2
2021-07-27;Syddanmark;1
2021-07-27;Hovedstaden;2
2021-07-28;Hovedstaden;7
2021-07-28;Sjælland;1
2021-07-29;Nordjylland;1
2021-07-29;Midtjylland;1
2021-07-29;Syddanmark;2
2021-07-29;Hovedstaden;2
2021-07-29;Sjælland;1
2021-07-30;Midtjylland;1
2021-07-30;Hovedstaden;2
2021-07-31;Hovedstaden;1
2021-08-01;Midtjylland;1
2021-08-01;Syddanmark;1
2021-08-01;Sjælland;1
2021-08-02;Midtjylland;3
2021-08-02;Syddanmark;2
2021-08-02;Hovedstaden;2
2021-08-02;Sjælland;1
2021-08-03;Nordjylland;1
2021-08-03;Midtjylland;2
2021-08-03;Hovedstaden;5
2021-08-03;Sjælland;2
2021-08-04;Hovedstaden;3
2021-08-04;Sjælland;1
2021-08-05;Hovedstaden;2
2021-08-06;Nordjylland;2
2021-08-06;Midtjylland;1
2021-08-06;Syddanmark;1
2021-08-06;Hovedstaden;1
2021-08-07;Midtjylland;1
2021-08-08;Hovedstaden;1
2021-08-09;Nordjylland;2
2021-08-09;Midtjylland;1
2021-08-09;Sjælland;2
2021-08-10;Midtjylland;3
2021-08-10;Syddanmark;1
2021-08-10;Hovedstaden;5
2021-08-11;Nordjylland;1
2021-08-11;Midtjylland;2
2021-08-11;Syddanmark;4
2021-08-11;Hovedstaden;4
2021-08-11;Sjælland;1
2021-08-12;Midtjylland;2
2021-08-12;Syddanmark;1
2021-08-12;Hovedstaden;3
2021-08-12;Sjælland;1
2021-08-13;Midtjylland;2
2021-08-13;Syddanmark;1
2021-08-13;Hovedstaden;1
2021-08-13;Sjælland;1
2021-08-14;Nordjylland;1
2021-08-14;Hovedstaden;4
2021-08-15;Nordjylland;1
2021-08-15;Hovedstaden;2
2021-08-15;Sjælland;2
2021-08-16;Midtjylland;2
2021-08-16;Hovedstaden;6
2021-08-17;Syddanmark;2
2021-08-17;Hovedstaden;2
2021-08-17;Sjælland;2
2021-08-18;Syddanmark;2
2021-08-18;Hovedstaden;4
2021-08-18;Sjælland;4
2021-08-19;Midtjylland;8
2021-08-19;Syddanmark;4
2021-08-19;Hovedstaden;2
2021-08-19;Sjælland;3
2021-08-20;Midtjylland;5
2021-08-20;Syddanmark;2
2021-08-20;Sjælland;1
2021-08-21;Hovedstaden;2
2021-08-22;Hovedstaden;3
2021-08-23;Nordjylland;1
2021-08-23;Midtjylland;4
2021-08-23;Syddanmark;2
2021-08-23;Hovedstaden;8
2021-08-23;Sjælland;1
2021-08-24;Nordjylland;1
2021-08-24;Midtjylland;3
2021-08-24;Syddanmark;2
2021-08-24;Hovedstaden;1
2021-08-24;Sjælland;4
2021-08-25;Midtjylland;5
2021-08-25;Syddanmark;1
2021-08-25;Hovedstaden;3
2021-08-25;Sjælland;2
2021-08-26;Nordjylland;1
2021-08-26;Midtjylland;1
2021-08-26;Syddanmark;3
2021-08-26;Hovedstaden;1
2021-08-26;Sjælland;1
2021-08-27;Midtjylland;2
2021-08-27;Hovedstaden;4
2021-08-28;Hovedstaden;2
2021-08-28;Sjælland;1
2021-08-29;Syddanmark;1
2021-08-29;Hovedstaden;1
2021-08-29;Sjælland;1
2021-08-30;Nordjylland;2
2021-08-30;Midtjylland;14
2021-08-30;Syddanmark;5
2021-08-30;Hovedstaden;6
2021-08-30;Sjælland;1
2021-08-31;Midtjylland;3
2021-08-31;Hovedstaden;8
2021-09-01;Nordjylland;2
2021-09-01;Midtjylland;11
2021-09-01;Syddanmark;3
2021-09-01;Hovedstaden;3
2021-09-02;Midtjylland;10
2021-09-02;Syddanmark;5
