"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2020-12-08;40-49;Nordjylland;1;0
2020-12-11;20-29;Nordjylland;1;0
2020-12-16;20-29;Hovedstaden;1;0
2020-12-17;30-39;Hovedstaden;1;0
2020-12-18;30-39;Hovedstaden;1;0
2020-12-18;10-19;Sjælland;1;0
2020-12-19;80-89;Hovedstaden;1;0
2020-12-20;40-49;Hovedstaden;1;0
2020-12-21;30-39;Midtjylland;1;0
2020-12-21;40-49;Hovedstaden;2;0
2020-12-22;40-49;Midtjylland;2;0
2020-12-22;20-29;Syddanmark;1;0
2020-12-22;40-49;Syddanmark;1;0
2020-12-22;60-69;Hovedstaden;1;0
2020-12-23;40-49;Midtjylland;1;0
2020-12-23;90+;Midtjylland;1;0
2020-12-23;50-59;Hovedstaden;1;0
2020-12-23;90+;Hovedstaden;1;0
2020-12-24;20-29;Hovedstaden;1;0
2020-12-24;40-49;Hovedstaden;1;0
2020-12-24;70-79;Hovedstaden;1;0
2020-12-24;20-29;Sjælland;1;0
2020-12-26;20-29;Hovedstaden;1;0
2020-12-26;60-69;Hovedstaden;1;0
2020-12-26;70-79;Hovedstaden;1;0
2020-12-26;30-39;Sjælland;1;0
2020-12-26;50-59;Sjælland;1;0
2020-12-27;20-29;Nordjylland;127;0
2020-12-27;30-39;Nordjylland;111;0
2020-12-27;40-49;Nordjylland;138;0
2020-12-27;50-59;Nordjylland;170;0
2020-12-27;60-69;Nordjylland;143;0
2020-12-27;70-79;Nordjylland;69;0
2020-12-27;80-89;Nordjylland;110;0
2020-12-27;90+;Nordjylland;70;0
2020-12-27;10-19;Midtjylland;4;0
2020-12-27;20-29;Midtjylland;154;0
2020-12-27;30-39;Midtjylland;185;0
2020-12-27;40-49;Midtjylland;257;0
2020-12-27;50-59;Midtjylland;294;0
2020-12-27;60-69;Midtjylland;273;0
2020-12-27;70-79;Midtjylland;170;0
2020-12-27;80-89;Midtjylland;240;0
2020-12-27;90+;Midtjylland;120;0
2020-12-27;20-29;Syddanmark;16;0
2020-12-27;30-39;Syddanmark;21;0
2020-12-27;40-49;Syddanmark;53;0
2020-12-27;50-59;Syddanmark;72;0
2020-12-27;60-69;Syddanmark;47;0
2020-12-27;70-79;Syddanmark;61;0
2020-12-27;80-89;Syddanmark;76;0
2020-12-27;90+;Syddanmark;60;0
2020-12-27;10-19;Hovedstaden;1;0
2020-12-27;20-29;Hovedstaden;158;0
2020-12-27;30-39;Hovedstaden;297;0
2020-12-27;40-49;Hovedstaden;329;0
2020-12-27;50-59;Hovedstaden;332;0
2020-12-27;60-69;Hovedstaden;255;0
2020-12-27;70-79;Hovedstaden;62;0
2020-12-27;80-89;Hovedstaden;71;0
2020-12-27;90+;Hovedstaden;53;0
2020-12-27;10-19;Sjælland;1;0
2020-12-27;20-29;Sjælland;46;0
2020-12-27;30-39;Sjælland;101;0
2020-12-27;40-49;Sjælland;170;0
2020-12-27;50-59;Sjælland;205;0
