"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-27,Nationalt,6415,5843445,0.11,6415
2020-12-28,Nationalt,1990,5843445,0.14,8405
2020-12-29,Nationalt,8855,5843445,0.30,17260
2020-12-30,Nationalt,11354,5843445,0.49,28614
2020-12-31,Nationalt,6095,5843445,0.59,34709
2021-01-01,Nationalt,2314,5843445,0.63,37023
2021-01-02,Nationalt,8785,5843445,0.78,45808
2021-01-03,Nationalt,5926,5843445,0.89,51734
2021-01-04,Nationalt,2392,5843445,0.93,54126
2021-01-05,Nationalt,13390,5843445,1.16,67516
2021-01-06,Nationalt,19552,5843445,1.49,87068
2021-01-07,Nationalt,17310,5843445,1.79,104378
2021-01-08,Nationalt,8372,5843445,1.93,112750
2021-01-09,Nationalt,1898,5843445,1.96,114648
2021-01-10,Nationalt,813,5843445,1.98,115461
2021-01-11,Nationalt,657,5843445,1.99,116118
2021-01-12,Nationalt,464,5843445,2.00,116582
2021-01-13,Nationalt,12676,5843445,2.21,129258
2021-01-14,Nationalt,17821,5843445,2.52,147079
2021-01-15,Nationalt,15125,5843445,2.78,162204
2021-01-16,Nationalt,4587,5843445,2.85,166791
2021-01-17,Nationalt,2508,5843445,2.90,169299
2021-01-18,Nationalt,3856,5843445,2.96,173155
2021-01-19,Nationalt,2468,5843445,3.01,175623
2021-01-20,Nationalt,1499,5843445,3.03,177122
2021-01-21,Nationalt,1518,5843445,3.06,178640
2021-01-22,Nationalt,663,5843445,3.07,179303
2021-01-23,Nationalt,761,5843445,3.08,180064
2021-01-24,Nationalt,608,5843445,3.09,180672
2021-01-25,Nationalt,269,5843445,3.10,180941
2021-01-26,Nationalt,214,5843445,3.10,181155
2021-01-27,Nationalt,205,5843445,3.10,181360
2021-01-28,Nationalt,228,5843445,3.11,181588
2021-01-29,Nationalt,1124,5843445,3.13,182712
2021-01-30,Nationalt,1209,5843445,3.15,183921
2021-01-31,Nationalt,1232,5843445,3.17,185153
2021-02-01,Nationalt,752,5843445,3.18,185905
2021-02-02,Nationalt,2032,5843445,3.22,187937
2021-02-03,Nationalt,1539,5843445,3.24,189476
2021-02-04,Nationalt,1433,5843445,3.27,190909
2021-02-05,Nationalt,1584,5843445,3.29,192493
2021-02-06,Nationalt,1035,5843445,3.31,193528
2021-02-07,Nationalt,1910,5843445,3.34,195438
2021-02-08,Nationalt,2545,5843445,3.39,197983
2021-02-09,Nationalt,3553,5843445,3.45,201536
2021-02-10,Nationalt,3284,5843445,3.51,204820
2021-02-11,Nationalt,5664,5843445,3.60,210484
2021-02-12,Nationalt,12036,5843445,3.81,222520
2021-02-13,Nationalt,6553,5843445,3.92,229073
2021-02-14,Nationalt,6232,5843445,4.03,235305
2021-02-15,Nationalt,13867,5843445,4.26,249172
2021-02-16,Nationalt,13248,5843445,4.49,262420
2021-02-17,Nationalt,10485,5843445,4.67,272905
2021-02-18,Nationalt,11475,5843445,4.87,284380
2021-02-19,Nationalt,13914,5843445,5.10,298294
2021-02-20,Nationalt,10522,5843445,5.28,308816
2021-02-21,Nationalt,10825,5843445,5.47,319641
2021-02-22,Nationalt,13527,5843445,5.70,333168
2021-02-23,Nationalt,14423,5843445,5.95,347591
2021-02-24,Nationalt,13714,5843445,6.18,361305
2021-02-25,Nationalt,14469,5843445,6.43,375774
2021-02-26,Nationalt,36016,5843445,7.05,411790
2021-02-27,Nationalt,6682,5843445,7.16,418472
2021-02-28,Nationalt,11009,5843445,7.35,429481
2021-03-01,Nationalt,19792,5843445,7.69,449273
2021-03-02,Nationalt,16716,5843445,7.97,465989
2021-03-03,Nationalt,13007,5843445,8.20,478996
2021-03-04,Nationalt,17435,5843445,8.50,496431
2021-03-05,Nationalt,16655,5843445,8.78,513086
2021-03-06,Nationalt,14642,5843445,9.03,527728
2021-03-07,Nationalt,12071,5843445,9.24,539799
2021-03-08,Nationalt,9621,5843445,9.40,549420
2021-03-09,Nationalt,10931,5843445,9.59,560351
2021-03-10,Nationalt,12069,5843445,9.80,572420
2021-03-11,Nationalt,4597,5843445,9.87,577017
2021-03-12,Nationalt,3365,5843445,9.93,580382
2021-03-13,Nationalt,4537,5843445,10.0,584919
2021-03-14,Nationalt,1234,5843445,10.0,586153
2021-03-15,Nationalt,2835,5843445,10.1,588988
2021-03-16,Nationalt,6813,5843445,10.2,595801
2021-03-17,Nationalt,10721,5843445,10.4,606522
2021-03-18,Nationalt,14628,5843445,10.6,621150
2021-03-19,Nationalt,7762,5843445,10.8,628912
2021-03-20,Nationalt,2938,5843445,10.8,631850
2021-03-21,Nationalt,4930,5843445,10.9,636780
2021-03-22,Nationalt,4118,5843445,11.0,640898
2021-03-23,Nationalt,6109,5843445,11.1,647007
2021-03-24,Nationalt,9865,5843445,11.2,656872
2021-03-25,Nationalt,7736,5843445,11.4,664608
2021-03-26,Nationalt,6147,5843445,11.5,670755
2021-03-27,Nationalt,9998,5843445,11.6,680753
2021-03-28,Nationalt,10808,5843445,11.8,691561
2021-03-29,Nationalt,17914,5843445,12.1,709475
2021-03-30,Nationalt,21658,5843445,12.5,731133
2021-03-31,Nationalt,13087,5843445,12.7,744220
2021-04-01,Nationalt,4178,5843445,12.8,748398
2021-04-02,Nationalt,4890,5843445,12.9,753288
2021-04-03,Nationalt,12125,5843445,13.1,765413
2021-04-04,Nationalt,11699,5843445,13.3,777112
2021-04-05,Nationalt,12307,5843445,13.5,789419
