"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-01;50-59;Syddanmark;1;0
2020-12-08;40-49;Nordjylland;1;0
2020-12-16;20-29;Hovedstaden;1;0
2020-12-17;30-39;Hovedstaden;1;0
2020-12-18;30-39;Hovedstaden;1;0
2020-12-19;80-89;Hovedstaden;1;0
2020-12-21;30-39;Midtjylland;1;0
2020-12-21;40-49;Hovedstaden;2;0
2020-12-22;30-39;Midtjylland;1;0
2020-12-22;40-49;Midtjylland;1;0
2020-12-22;20-29;Syddanmark;1;0
2020-12-22;30-39;Syddanmark;1;0
2020-12-23;40-49;Midtjylland;1;0
2020-12-23;90+;Midtjylland;1;0
2020-12-23;50-59;Hovedstaden;1;0
2020-12-23;90+;Hovedstaden;1;0
2020-12-24;20-29;Hovedstaden;1;0
2020-12-24;40-49;Hovedstaden;1;0
2020-12-24;70-79;Hovedstaden;1;0
2020-12-24;20-29;Sjælland;1;0
2020-12-26;20-29;Hovedstaden;1;0
2020-12-26;60-69;Hovedstaden;1;0
2020-12-26;70-79;Hovedstaden;1;0
2020-12-26;30-39;Sjælland;1;0
2020-12-26;50-59;Sjælland;1;0
2020-12-27;20-29;Nordjylland;127;0
2020-12-27;30-39;Nordjylland;115;0
2020-12-27;40-49;Nordjylland;138;0
2020-12-27;50-59;Nordjylland;172;0
2020-12-27;60-69;Nordjylland;138;0
2020-12-27;70-79;Nordjylland;77;0
2020-12-27;80-89;Nordjylland;116;0
2020-12-27;90+;Nordjylland;74;0
2020-12-27;10-19;Midtjylland;8;0
2020-12-27;20-29;Midtjylland;152;0
2020-12-27;30-39;Midtjylland;188;0
2020-12-27;40-49;Midtjylland;258;0
2020-12-27;50-59;Midtjylland;294;0
2020-12-27;60-69;Midtjylland;269;0
2020-12-27;70-79;Midtjylland;187;0
2020-12-27;80-89;Midtjylland;248;0
2020-12-27;90+;Midtjylland;127;0
2020-12-27;20-29;Syddanmark;16;0
2020-12-27;30-39;Syddanmark;22;0
2020-12-27;40-49;Syddanmark;53;0
2020-12-27;50-59;Syddanmark;74;0
2020-12-27;60-69;Syddanmark;43;0
2020-12-27;70-79;Syddanmark;65;0
2020-12-27;80-89;Syddanmark;88;0
2020-12-27;90+;Syddanmark;62;0
2020-12-27;10-19;Hovedstaden;1;0
2020-12-27;20-29;Hovedstaden;165;0
2020-12-27;30-39;Hovedstaden;302;0
2020-12-27;40-49;Hovedstaden;328;0
2020-12-27;50-59;Hovedstaden;326;0
2020-12-27;60-69;Hovedstaden;253;0
2020-12-27;70-79;Hovedstaden;66;0
2020-12-27;80-89;Hovedstaden;77;0
2020-12-27;90+;Hovedstaden;54;0
2020-12-27;10-19;Sjælland;1;0
