"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-01;40-64;Syddanmark;1;0
2020-12-08;40-64;Nordjylland;1;0
2020-12-16;20-39;Hovedstaden;1;0
2020-12-17;20-39;Hovedstaden;1;0
2020-12-18;20-39;Hovedstaden;1;0
2020-12-19;80+;Hovedstaden;1;0
2020-12-21;20-39;Midtjylland;1;0
2020-12-21;20-39;Hovedstaden;1;0
2020-12-21;40-64;Hovedstaden;1;0
2020-12-22;20-39;Midtjylland;1;0
2020-12-22;40-64;Midtjylland;1;0
2020-12-22;20-39;Syddanmark;2;0
2020-12-23;40-64;Midtjylland;1;0
2020-12-23;80+;Midtjylland;1;0
2020-12-23;40-64;Hovedstaden;1;0
2020-12-23;80+;Hovedstaden;1;0
2020-12-24;20-39;Hovedstaden;1;0
2020-12-24;40-64;Hovedstaden;1;0
2020-12-24;65-79;Hovedstaden;1;0
2020-12-24;20-39;Sjælland;1;0
2020-12-26;20-39;Hovedstaden;1;0
2020-12-26;65-79;Hovedstaden;2;0
2020-12-26;20-39;Sjælland;1;0
2020-12-26;40-64;Sjælland;1;0
2020-12-27;16-19;Nordjylland;3;0
2020-12-27;20-39;Nordjylland;253;0
2020-12-27;40-64;Nordjylland;402;0
2020-12-27;65-79;Nordjylland;122;0
2020-12-27;80+;Nordjylland;181;0
2020-12-27;16-19;Midtjylland;14;0
2020-12-27;20-39;Midtjylland;361;0
2020-12-27;40-64;Midtjylland;712;0
2020-12-27;65-79;Midtjylland;284;0
2020-12-27;80+;Midtjylland;363;0
2020-12-27;16-19;Syddanmark;2;0
2020-12-27;20-39;Syddanmark;38;0
2020-12-27;40-64;Syddanmark;157;0
2020-12-27;65-79;Syddanmark;83;0
2020-12-27;80+;Syddanmark;145;0
2020-12-27;16-19;Hovedstaden;2;0
2020-12-27;20-39;Hovedstaden;497;0
2020-12-27;40-64;Hovedstaden;810;0
2020-12-27;65-79;Hovedstaden;141;0
2020-12-27;80+;Hovedstaden;123;0
2020-12-27;12-15;Sjælland;1;0
2020-12-27;16-19;Sjælland;1;0
2020-12-27;20-39;Sjælland;162;0
2020-12-27;40-64;Sjælland;471;0
2020-12-27;65-79;Sjælland;227;0
2020-12-27;80+;Sjælland;331;0
2020-12-28;20-39;Nordjylland;25;0
2020-12-28;40-64;Nordjylland;75;0
2020-12-28;65-79;Nordjylland;5;0
2020-12-28;20-39;Midtjylland;60;0
2020-12-28;40-64;Midtjylland;124;0
2020-12-28;65-79;Midtjylland;11;0
2020-12-28;12-15;Syddanmark;1;0
2020-12-28;16-19;Syddanmark;2;0
2020-12-28;20-39;Syddanmark;112;0
2020-12-28;40-64;Syddanmark;309;0
2020-12-28;65-79;Syddanmark;74;0
2020-12-28;80+;Syddanmark;107;0
2020-12-28;16-19;Hovedstaden;3;0
2020-12-28;20-39;Hovedstaden;135;0
2020-12-28;40-64;Hovedstaden;201;0
2020-12-28;65-79;Hovedstaden;69;0
2020-12-28;80+;Hovedstaden;68;0
2020-12-28;20-39;Sjælland;139;0
2020-12-28;40-64;Sjælland;381;0
2020-12-28;65-79;Sjælland;29;0
2020-12-28;80+;Sjælland;1;0
2020-12-29;16-19;Nordjylland;3;0
2020-12-29;20-39;Nordjylland;24;0
2020-12-29;40-64;Nordjylland;114;1
2020-12-29;65-79;Nordjylland;49;0
2020-12-29;80+;Nordjylland;99;0
2020-12-29;16-19;Midtjylland;4;0
2020-12-29;20-39;Midtjylland;211;0
2020-12-29;40-64;Midtjylland;466;0
2020-12-29;65-79;Midtjylland;121;0
2020-12-29;80+;Midtjylland;218;0
2020-12-29;16-19;Syddanmark;3;0
2020-12-29;20-39;Syddanmark;344;0
2020-12-29;40-64;Syddanmark;920;0
2020-12-29;65-79;Syddanmark;211;0
2020-12-29;80+;Syddanmark;290;0
2020-12-29;16-19;Hovedstaden;8;0
2020-12-29;20-39;Hovedstaden;1031;0
2020-12-29;40-64;Hovedstaden;1791;0
2020-12-29;65-79;Hovedstaden;312;0
2020-12-29;80+;Hovedstaden;275;0
2020-12-29;20-39;Sjælland;355;0
2020-12-29;40-64;Sjælland;914;0
2020-12-29;65-79;Sjælland;251;0
2020-12-29;80+;Sjælland;314;0
2020-12-30;16-19;Nordjylland;17;0
2020-12-30;20-39;Nordjylland;465;0
2020-12-30;40-64;Nordjylland;1006;0
2020-12-30;65-79;Nordjylland;204;0
2020-12-30;80+;Nordjylland;381;0
2020-12-30;16-19;Midtjylland;7;0
