"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-27,Nationalt,6452,5841645,0.11,6452
2020-12-28,Nationalt,1989,5841645,0.14,8441
2020-12-29,Nationalt,8907,5841645,0.30,17348
2020-12-30,Nationalt,11420,5841645,0.49,28768
2020-12-31,Nationalt,6145,5841645,0.60,34913
2021-01-01,Nationalt,2325,5841645,0.64,37238
2021-01-02,Nationalt,8826,5841645,0.79,46064
2021-01-03,Nationalt,5985,5841645,0.89,52049
2021-01-04,Nationalt,2396,5841645,0.93,54445
2021-01-05,Nationalt,13469,5841645,1.16,67914
2021-01-06,Nationalt,19682,5841645,1.50,87596
2021-01-07,Nationalt,17440,5841645,1.80,105036
2021-01-08,Nationalt,8449,5841645,1.94,113485
2021-01-09,Nationalt,1900,5841645,1.98,115385
2021-01-10,Nationalt,813,5841645,1.99,116198
2021-01-11,Nationalt,657,5841645,2.00,116855
2021-01-12,Nationalt,463,5841645,2.01,117318
2021-01-13,Nationalt,12716,5841645,2.23,130034
2021-01-14,Nationalt,17895,5841645,2.53,147929
2021-01-15,Nationalt,15199,5841645,2.79,163128
2021-01-16,Nationalt,4606,5841645,2.87,167734
2021-01-17,Nationalt,2531,5841645,2.91,170265
2021-01-18,Nationalt,3885,5841645,2.98,174150
2021-01-19,Nationalt,2483,5841645,3.02,176633
2021-01-20,Nationalt,1506,5841645,3.05,178139
2021-01-21,Nationalt,1521,5841645,3.08,179660
2021-01-22,Nationalt,666,5841645,3.09,180326
2021-01-23,Nationalt,786,5841645,3.10,181112
2021-01-24,Nationalt,616,5841645,3.11,181728
2021-01-25,Nationalt,260,5841645,3.12,181988
2021-01-26,Nationalt,215,5841645,3.12,182203
2021-01-27,Nationalt,211,5841645,3.12,182414
2021-01-28,Nationalt,239,5841645,3.13,182653
2021-01-29,Nationalt,1135,5841645,3.15,183788
2021-01-30,Nationalt,1228,5841645,3.17,185016
2021-01-31,Nationalt,1255,5841645,3.19,186271
2021-02-01,Nationalt,756,5841645,3.20,187027
2021-02-02,Nationalt,2047,5841645,3.24,189074
2021-02-03,Nationalt,1554,5841645,3.26,190628
2021-02-04,Nationalt,1436,5841645,3.29,192064
2021-02-05,Nationalt,1586,5841645,3.31,193650
2021-02-06,Nationalt,1035,5841645,3.33,194685
2021-02-07,Nationalt,1914,5841645,3.37,196599
2021-02-08,Nationalt,2544,5841645,3.41,199143
2021-02-09,Nationalt,3563,5841645,3.47,202706
2021-02-10,Nationalt,3282,5841645,3.53,205988
2021-02-11,Nationalt,5656,5841645,3.62,211644
2021-02-12,Nationalt,12043,5841645,3.83,223687
2021-02-13,Nationalt,6553,5841645,3.94,230240
2021-02-14,Nationalt,6217,5841645,4.05,236457
2021-02-15,Nationalt,13819,5841645,4.28,250276
2021-02-16,Nationalt,13190,5841645,4.51,263466
2021-02-17,Nationalt,10477,5841645,4.69,273943
2021-02-18,Nationalt,11486,5841645,4.89,285429
2021-02-19,Nationalt,13915,5841645,5.12,299344
2021-02-20,Nationalt,10509,5841645,5.30,309853
2021-02-21,Nationalt,10797,5841645,5.49,320650
2021-02-22,Nationalt,13504,5841645,5.72,334154
2021-02-23,Nationalt,14400,5841645,5.97,348554
2021-02-24,Nationalt,13695,5841645,6.20,362249
2021-02-25,Nationalt,14448,5841645,6.45,376697
2021-02-26,Nationalt,35940,5841645,7.06,412637
2021-02-27,Nationalt,6644,5841645,7.18,419281
2021-02-28,Nationalt,10975,5841645,7.37,430256
2021-03-01,Nationalt,19732,5841645,7.70,449988
2021-03-02,Nationalt,16690,5841645,7.99,466678
2021-03-03,Nationalt,12993,5841645,8.21,479671
2021-03-04,Nationalt,16969,5841645,8.50,496640
2021-03-05,Nationalt,16276,5841645,8.78,512916
2021-03-06,Nationalt,14553,5841645,9.03,527469
