"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2020-12-29;1081;Nordjylland;1;1081
2021-01-01;1083;Syddanmark;1;1083
2021-01-04;1083;Syddanmark;1;1083
2021-01-05;1084;Hovedstaden;1;1084
2021-01-07;1083;Syddanmark;1;1083
2021-01-07;1084;Hovedstaden;1;1084
2021-01-08;1084;Hovedstaden;1;1084
2021-01-09;1084;Hovedstaden;2;1084
2021-01-12;1082;Midtjylland;1;1082
2021-01-12;1083;Syddanmark;1;1083
2021-01-13;1082;Midtjylland;3;1082
2021-01-13;1084;Hovedstaden;2;1084
2021-01-14;1084;Hovedstaden;1;1084
2021-01-15;1084;Hovedstaden;5;1084
2021-01-16;1082;Midtjylland;7;1082
2021-01-16;1084;Hovedstaden;2;1084
2021-01-16;1085;Sjælland;1;1085
2021-01-17;1081;Nordjylland;1;1081
2021-01-17;1082;Midtjylland;2;1082
2021-01-17;1083;Syddanmark;385;1083
2021-01-17;1084;Hovedstaden;42;1084
2021-01-17;1085;Sjælland;198;1085
2021-01-18;1081;Nordjylland;4;1081
2021-01-18;1082;Midtjylland;166;1082
2021-01-18;1083;Syddanmark;458;1083
2021-01-18;1084;Hovedstaden;136;1084
2021-01-18;1085;Sjælland;1164;1085
2021-01-19;1081;Nordjylland;2;1081
2021-01-19;1082;Midtjylland;11;1082
2021-01-19;1083;Syddanmark;398;1083
2021-01-19;1084;Hovedstaden;172;1084
2021-01-19;1085;Sjælland;1290;1085
2021-01-20;1081;Nordjylland;4;1081
2021-01-20;1082;Midtjylland;98;1082
2021-01-20;1083;Syddanmark;267;1083
2021-01-20;1084;Hovedstaden;136;1084
2021-01-20;1085;Sjælland;1199;1085
2021-01-21;1081;Nordjylland;10;1081
2021-01-21;1082;Midtjylland;578;1082
2021-01-21;1083;Syddanmark;383;1083
2021-01-21;1084;Hovedstaden;116;1084
2021-01-21;1085;Sjælland;1047;1085
2021-01-22;1081;Nordjylland;2296;1081
2021-01-22;1082;Midtjylland;1021;1082
2021-01-22;1083;Syddanmark;1371;1083
2021-01-22;1084;Hovedstaden;82;1084
2021-01-22;1085;Sjælland;444;1085
2021-01-23;1081;Nordjylland;1199;1081
2021-01-23;1082;Midtjylland;884;1082
2021-01-23;1083;Syddanmark;148;1083
2021-01-23;1084;Hovedstaden;3760;1084
2021-01-23;1085;Sjælland;368;1085
2021-01-24;1081;Nordjylland;563;1081
2021-01-24;1082;Midtjylland;1117;1082
2021-01-24;1083;Syddanmark;190;1083
2021-01-24;1084;Hovedstaden;3594;1084
2021-01-24;1085;Sjælland;287;1085
2021-01-25;1081;Nordjylland;11;1081
2021-01-25;1082;Midtjylland;149;1082
2021-01-25;1083;Syddanmark;1612;1083
2021-01-25;1084;Hovedstaden;229;1084
2021-01-25;1085;Sjælland;259;1085
2021-01-26;1081;Nordjylland;155;1081
2021-01-26;1082;Midtjylland;46;1082
2021-01-26;1083;Syddanmark;878;1083
2021-01-26;1084;Hovedstaden;139;1084
2021-01-26;1085;Sjælland;376;1085
2021-01-27;1081;Nordjylland;225;1081
2021-01-27;1082;Midtjylland;1091;1082
2021-01-27;1083;Syddanmark;967;1083
2021-01-27;1084;Hovedstaden;619;1084
2021-01-27;1085;Sjælland;1138;1085
2021-01-28;1081;Nordjylland;516;1081
2021-01-28;1082;Midtjylland;1716;1082
2021-01-28;1083;Syddanmark;460;1083
2021-01-28;1084;Hovedstaden;3682;1084
2021-01-28;1085;Sjælland;1367;1085
2021-01-29;1081;Nordjylland;1803;1081
2021-01-29;1082;Midtjylland;3546;1082
2021-01-29;1083;Syddanmark;2863;1083
2021-01-29;1084;Hovedstaden;7074;1084
2021-01-29;1085;Sjælland;1717;1085
2021-01-30;1081;Nordjylland;1698;1081
2021-01-30;1082;Midtjylland;2345;1082
2021-01-30;1083;Syddanmark;2521;1083
2021-01-30;1084;Hovedstaden;4224;1084
2021-01-30;1085;Sjælland;958;1085
2021-01-31;1081;Nordjylland;1491;1081
2021-01-31;1082;Midtjylland;5470;1082
2021-01-31;1083;Syddanmark;1141;1083
2021-01-31;1084;Hovedstaden;2411;1084
2021-01-31;1085;Sjælland;566;1085
2021-02-01;1081;Nordjylland;512;1081
2021-02-01;1082;Midtjylland;1428;1082
2021-02-01;1083;Syddanmark;2880;1083
2021-02-01;1084;Hovedstaden;1880;1084
2021-02-01;1085;Sjælland;753;1085
2021-02-02;1081;Nordjylland;331;1081
2021-02-02;1082;Midtjylland;959;1082
2021-02-02;1083;Syddanmark;998;1083
2021-02-02;1084;Hovedstaden;111;1084
2021-02-02;1085;Sjælland;448;1085
