"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-01;40-64;Syddanmark;1;0
2020-12-08;40-64;Nordjylland;1;0
2020-12-16;20-39;Hovedstaden;1;0
2020-12-17;20-39;Hovedstaden;1;0
2020-12-18;20-39;Hovedstaden;1;0
2020-12-19;80+;Hovedstaden;1;0
2020-12-20;40-64;Hovedstaden;1;0
2020-12-21;20-39;Midtjylland;1;0
2020-12-21;20-39;Hovedstaden;1;0
2020-12-21;40-64;Hovedstaden;1;0
2020-12-22;20-39;Midtjylland;1;0
2020-12-22;40-64;Midtjylland;1;0
2020-12-22;20-39;Syddanmark;2;0
2020-12-22;40-64;Hovedstaden;1;0
2020-12-23;40-64;Midtjylland;1;0
2020-12-23;80+;Midtjylland;1;0
2020-12-23;40-64;Hovedstaden;1;0
2020-12-23;80+;Hovedstaden;1;0
2020-12-24;20-39;Hovedstaden;1;0
2020-12-24;40-64;Hovedstaden;1;0
2020-12-24;65-79;Hovedstaden;1;0
2020-12-24;20-39;Sjælland;1;0
2020-12-26;20-39;Hovedstaden;1;0
2020-12-26;65-79;Hovedstaden;2;0
2020-12-26;20-39;Sjælland;1;0
2020-12-26;40-64;Sjælland;1;0
2020-12-27;16-19;Nordjylland;3;0
2020-12-27;20-39;Nordjylland;253;0
2020-12-27;40-64;Nordjylland;402;0
2020-12-27;65-79;Nordjylland;119;0
2020-12-27;80+;Nordjylland;174;0
2020-12-27;16-19;Midtjylland;14;0
2020-12-27;20-39;Midtjylland;362;0
2020-12-27;40-64;Midtjylland;712;0
2020-12-27;65-79;Midtjylland;276;0
2020-12-27;80+;Midtjylland;351;0
2020-12-27;16-19;Syddanmark;2;0
2020-12-27;20-39;Syddanmark;38;0
2020-12-27;40-64;Syddanmark;157;0
2020-12-27;65-79;Syddanmark;83;0
2020-12-27;80+;Syddanmark;137;0
2020-12-27;16-19;Hovedstaden;2;0
2020-12-27;20-39;Hovedstaden;497;0
2020-12-27;40-64;Hovedstaden;810;0
2020-12-27;65-79;Hovedstaden;140;0
2020-12-27;80+;Hovedstaden;121;0
2020-12-27;12-15;Sjælland;1;0
2020-12-27;16-19;Sjælland;1;0
2020-12-27;20-39;Sjælland;162;0
2020-12-27;40-64;Sjælland;469;0
2020-12-27;65-79;Sjælland;223;0
2020-12-27;80+;Sjælland;324;0
2020-12-28;20-39;Nordjylland;25;0
2020-12-28;40-64;Nordjylland;75;0
2020-12-28;65-79;Nordjylland;5;0
2020-12-28;20-39;Midtjylland;60;0
2020-12-28;40-64;Midtjylland;124;0
2020-12-28;65-79;Midtjylland;11;0
2020-12-28;12-15;Syddanmark;1;0
2020-12-28;16-19;Syddanmark;2;0
2020-12-28;20-39;Syddanmark;112;0
2020-12-28;40-64;Syddanmark;309;0
2020-12-28;65-79;Syddanmark;72;0
2020-12-28;80+;Syddanmark;106;0
2020-12-28;16-19;Hovedstaden;3;0
2020-12-28;20-39;Hovedstaden;136;0
2020-12-28;40-64;Hovedstaden;201;0
2020-12-28;65-79;Hovedstaden;68;0
2020-12-28;80+;Hovedstaden;66;0
2020-12-28;20-39;Sjælland;140;0
2020-12-28;40-64;Sjælland;381;0
2020-12-28;65-79;Sjælland;29;0
2020-12-28;80+;Sjælland;1;0
2020-12-29;16-19;Nordjylland;3;0
2020-12-29;20-39;Nordjylland;24;0
2020-12-29;40-64;Nordjylland;116;1
2020-12-29;65-79;Nordjylland;46;0
2020-12-29;80+;Nordjylland;95;0
2020-12-29;16-19;Midtjylland;4;0
2020-12-29;20-39;Midtjylland;212;0
2020-12-29;40-64;Midtjylland;464;0
2020-12-29;65-79;Midtjylland;121;0
2020-12-29;80+;Midtjylland;208;0
2020-12-29;16-19;Syddanmark;3;0
2020-12-29;20-39;Syddanmark;348;0
2020-12-29;40-64;Syddanmark;920;0
2020-12-29;65-79;Syddanmark;210;0
2020-12-29;80+;Syddanmark;276;0
2020-12-29;16-19;Hovedstaden;8;0
2020-12-29;20-39;Hovedstaden;1025;0
2020-12-29;40-64;Hovedstaden;1790;0
2020-12-29;65-79;Hovedstaden;306;0
2020-12-29;80+;Hovedstaden;258;0
2020-12-29;20-39;Sjælland;353;0
2020-12-29;40-64;Sjælland;914;0
2020-12-29;65-79;Sjælland;247;0
2020-12-29;80+;Sjælland;300;0
2020-12-30;16-19;Nordjylland;17;0
2020-12-30;20-39;Nordjylland;462;0
2020-12-30;40-64;Nordjylland;1006;0
2020-12-30;65-79;Nordjylland;201;0
