"Første vacc. dato";"kommunenavn";"Antal første vacc.";"c_kom_num"
2020-12-01;Aabenraa;1;580
2020-12-16;Brøndby;1;153
2020-12-17;Frederikssund;1;250
2020-12-19;Frederiksberg;1;147
2020-12-21;København;1;101
2020-12-21;Gentofte;1;157
2020-12-22;Odense;1;461
2020-12-22;Odder;1;727
2020-12-22;Aalborg;1;851
2020-12-23;København;2;101
2020-12-23;Århus;2;751
2020-12-24;København;2;101
2020-12-24;Gladsaxe;1;159
2020-12-24;Næstved;1;370
2020-12-26;Frederiksberg;1;147
2020-12-26;Allerød;1;201
2020-12-26;Ringsted;1;329
2020-12-27;København;640;101
2020-12-27;Frederiksberg;89;147
2020-12-27;Ballerup;26;151
2020-12-27;Brøndby;17;153
2020-12-27;Dragør;8;155
2020-12-27;Gentofte;41;157
2020-12-27;Gladsaxe;51;159
2020-12-27;Glostrup;13;161
2020-12-27;Herlev;52;163
2020-12-27;Albertslund;19;165
2020-12-27;Hvidovre;50;167
2020-12-27;Høje Tåstrup;34;169
2020-12-27;Lyngby-Taarbæk;49;173
2020-12-27;Rødovre;24;175
2020-12-27;Ishøj;98;183
2020-12-27;Tårnby;15;185
2020-12-27;Vallensbæk;12;187
2020-12-27;Furesø;27;190
2020-12-27;Allerød;18;201
2020-12-27;Fredensborg;19;210
2020-12-27;Helsingør;34;217
2020-12-27;Hillerød;56;219
2020-12-27;Hørsholm;15;223
2020-12-27;Rudersdal;32;230
2020-12-27;Egedal;26;240
2020-12-27;Frederikssund;15;250
2020-12-27;Greve;228;253
2020-12-27;Køge;62;259
2020-12-27;Halsnæs;19;260
2020-12-27;Roskilde;52;265
2020-12-27;Solrød;119;269
2020-12-27;Gribskov;26;270
2020-12-27;Odsherred;6;306
2020-12-27;Holbæk;50;316
2020-12-27;Faxe;17;320
2020-12-27;Kalundborg;22;326
2020-12-27;Ringsted;14;329
2020-12-27;Slagelse;510;330
2020-12-27;Stevns;19;336
2020-12-27;Sorø;23;340
2020-12-27;Lejre;10;350
2020-12-27;Lolland;8;360
2020-12-27;Næstved;34;370
2020-12-27;Guldborgsund;56;376
2020-12-27;Vordingborg;14;390
2020-12-27;Bornholm;61;400
2020-12-27;Middelfart;6;410
2020-12-27;Assens;6;420
2020-12-27;Faaborg-Midtfyn;11;430
2020-12-27;Kerteminde;3;440
2020-12-27;Nyborg;7;450
2020-12-27;Odense;395;461
2020-12-27;Svendborg;1;479
2020-12-27;Nordfyn;4;480
2020-12-27;Horsens;52;615
2020-12-27;Kolding;1;621
2020-12-27;Vejle;3;630
2020-12-27;Herning;72;657
2020-12-27;Holstebro;16;661
2020-12-27;Lemvig;1;665
2020-12-27;Struer;2;671
2020-12-27;Syddjurs;48;706
2020-12-27;Norddjurs;8;707
2020-12-27;Favrskov;30;710
